父爱	fuai,fa
父辈	fubei,fb
父本	fuben,fb
父慈子孝	fucizixiao,fczx
父党	fudang,fd
父道	fudao,fd
父服	fu,f
父国	fuguo,fg
父级	fuji,fj
父艰	fujian,fj
父舅	fujiu,fj
父老	fulao,fl
父马	fuma,fm
父祢	fumi,fm
父母	fumu,fm
父母恩勤	fumuenqin,fmeq
父母官	fumuguan,fmg
父母国	fumuguo,fmg
父母亲	fumuqin,fmq
父母双亡	fumushuangwang,fmsw
父母之邦	fumuzhibang,fmzb
父女	funu,fn
父亲	fuqin,fq
父亲节	fuqinjie,fqj
父权	fuquan,fq
父权制	fuquanzhi,fqz
父任	furen,fr
父丧	fusang,fs
父赏	fushang,fs
父师	fushi,fs
父世县	fushixian,fsx
父事	fushi,fs
父天	futian,ft
父王	fuwang,fw
父为子隐	fuweiziyin,fwzy
父析子荷	fuxizihe,fxzh
父息	fuxi,fx
父系	fuxi,fx
父系氏族公社	fuxishizugongshe,fxszgs
父兄	fuxiong,fx
父训	fuxun,fx
父严子孝	fuyanzixiao,fyzx
父业	fuye,fy
父荫	fuyin,fy
父忧	fuyou,fy
父债子还	fuzhaizihuan,fzzh
父执	fuzhi,fz
父执辈	fuzhibei,fzb
父子	fuzi,fz
父子兵	fuzibing,fzb
父子军	fuzijun,fzj
父宗	fuzong,fz
父族	fuzu,fz
父祖	fuzu,fz
