版版	ban,b
版版六十四	banliushisi,blss
版本	banben,bb
版本记录	banbenjilu,bbjl
版部	banbu,bb
版簿	banbu,bb
版曹	bancao,bc
版臿	bancha,bc
版插	bancha,bc
版缠	banchan,bc
版齿	banchi,bc
版次	banci,bc
版刺	banci,bc
版荡	bandang,bd
版牍	bandu,bd
版盖	bangai,bg
版国	banguo,bg
版画	banhua,bh
版籍	banji,bj
版刻	banke,bk
版口	bankou,bk
版块	bankuai,bk
版面	banmian,bm
版面费	banmianfei,bmf
版纳	banna,bn
版权	banquan,bq
版权所有	banquansuoyou,bqsy
版权页	banquanye,bqy
版式	banshi,bs
版授	banshou,bs
版税	banshui,bs
版图	bantu,bt
版瓦	banwa,bw
版位	banwei,bw
版屋	banwu,bw
版檄	banxi,bx
版心	banxin,bx
版行	banxing,bx
版型	banxing,bx
版谒	banye,by
版尹	banyin,by
版舆	banyu,by
版轝	banyu,by
版辕	banyuan,by
版章	banzhang,bz
版帐钱	banzhangqian,bzq
版职	banzhi,bz
版主	banzhu,bz
版筑	banzhu,bz
版筑饭牛	banzhufanniu,bzfn
版子	banzi,bz
版奏	banzou,bz
