牡丹	mudan,md
牡丹坊	mudanfang,mdf
牡丹花	mudanhua,mdh
牡丹花好	mudanhuahao,mdhh
牡丹江	mudanjiang,mdj
牡丹江地区	mudanjiangdiqu,mdjdq
牡丹江市	mudanjiangshi,mdjs
牡丹卡	mudanka,mdk
牡丹皮	mudanpi,mdp
牡丹区	mudanqu,mdq
牡丹虽好	mudansuihao,mdsh
牡丹亭	mudanting,mdt
牡丹头	mudantou,mdt
牡丹乡	mudanxiang,mdx
牡飞	mufei,mf
牡橭	mugu,mg
牡桂	mugui,mg
牡蛤	muge,mg
牡蒿	muhao,mh
牡荆	mujing,mj
牡鞠	muju,mj
牡菊	muju,mj
牡蛎	muli,ml
牡鹿	mulu,ml
牡麻	muma,mm
牡蒙	mumeng,mm
牡牛	muniu,mn
牡牝	mupin,mp
牡菣	muqin,mq
牡疝	mushan,ms
牡铜	mutong,mt
牡羊座	muyangzuo,myz
牡钥	muyue,my
牡籥	muyue,my
牡骘	muzhi,mz
