特奥会	teaohui,tah
特拔	teba,tb
特拜	tebai,tb
特本	teben,tb
特笔	tebi,tb
特表	tebiao,tb
特别	tebie,tb
特别待遇	tebiedaiyu,tbdy
特别地	tebiede,tbd
特别地冻	tebiededong,tbdd
特别地酷	tebiedeku,tbdk
特别地累	tebiedelei,tbdl
特别地忙	tebiedemang,tbdm
特别地敏感	tebiedemingan,tbdmg
特别感谢	tebieganxie,tbgx
特别护理	tebiehuli,tbhl
特别客串	tebiekechuan,tbkc
特别快车	tebiekuaiche,tbkc
特别任务连	tebierenwulian,tbrwl
特别提款权	tebietikuanquan,tbtkq
特别行政区	tebiexingzhengqu,tbxzq
特秉	tebing,tb
特禀	tebing,tb
特操	tecao,tc
特产	techan,tc
特称判断	techengpanduan,tcpd
特诚	techeng,tc
特勑	telai,tl
特敕	techi,tc
特出	techu,tc
特除	techu,tc
特除拜	techubai,tcb
特除名	techuming,tcm
特创	techuang,tc
特此	teci,tc
特赐	teci,tc
特达	teda,td
特大	teda,td
特大号	tedahao,tdh
特贷	tedai,td
特当	tedang,td
特得	tede,td
特地	tedi,td
特的	tede,td
特等	tedeng,td
特底	tedi,td
特典	tedian,td
特点	tedian,td
特调	tetiao,tt
特定	teding,td
特定地	tedengde,tdd
特恩	teen,te
特尔地木	teerdemu,tedm
特发性	tefaxing,tfx
特富龙	tefulong,tfl
特工	tegong,tg
特古	tegu,tg
特古西加尔巴	teguxijiaerba,tgxjeb
特骨	tegu,tg
特故	tegu,tg
特号	tehao,th
特护	tehu,th
特护区	tehuqu,thq
特化	tehua,th
特惠	tehui,th
特惠关税	tehuiguanshui,thgs
特惠金	tehuijin,thj
特级	teji,tj
特急	teji,tj
特辑	teji,tj
特技	teji,tj
特技摄影	tejisheying,tjsy
特技跳伞	tejitiaosan,tjts
特技演员	tejiyanyuan,tjyy
特加	tejia,tj
特价	tejia,tj
特价菜	tejiacai,tjc
特肩	tejian,tj
特简	tejian,tj
特见	tejian,tj
特将	tejiang,tj
特解	tejie,tj
特进	tejin,tj
特警	tejing,tj
特绝	tejue,tj
特刊	tekan,tk
特科	teke,tk
特克斯	tekesi,tks
特克斯和凯科斯群岛	tekesihekaiqundao,tkshkqd
特克斯河	tekesihe,tksh
特克斯群岛和凯科斯群岛	tekesiqundaohekai,tksqdhk
特克斯县	tekesixian,tksx
特快	tekuai,tk
特快车	tekuaiche,tkc
特快专递	tekuaizhuandi,tkzd
特困	tekun,tk
特拉法尔加	telafaerjia,tlfej
特拉法尔加广场	telafaerjiaguangchang,tlfejgc
特拉法加广场	telafajiaguangchang,tlfjgc
特拉华	telahua,tlh
特拉华河	telahuahe,tlhh
特拉华州	telahuazhou,tlhz
特拉维夫	telaweifu,tlwf
特来	telai,tl
特郎当	telangdang,tld
特朗普	telangpu,tlp
特勒	tele,tl
特雷莎	teleisha,tls
特雷沃	teleiwo,tlw
特里尔	telier,tle
特里普拉	telipula,tlpl
特里萨	telisa,tls
特立	teli,tl
特立独行	teliduxing,tldx
特立尼达	telinida,tlnd
特立尼达和多巴哥	telinidaheduobage,tlndhdbg
特利	teli,tl
特例	teli,tl
特鲁埃尔	teluaier,tlae
特鲁多	teluduo,tld
特伦顿	telundun,tld
