犀伻	xibeng,xb
犀比	xibi,xb
犀蔽	xibi,xb
犀璧	xibi,xb
犀表	xibiao,xb
犀兵	xibing,xb
犀柄	xibing,xb
犀柄麈尾	xibingzhuwei,xbzw
犀布	xibu,xb
犀车	xiche,xc
犀槌	xichui,xc
犀带	xidai,xd
犀带狮补	xidaishibu,xdsb
犀导	xidao,xd
犀灯然	xidengran,xdr
犀簟	xidian,xd
犀顶龟文	xidingguiwen,xdgw
犀楯	xidun,xd
犀分	xifen,xf
犀凤	xifeng,xf
犀革	xige,xg
犀弓	xigong,xg
犀骨	xigu,xg
犀管	xiguan,xg
犀光	xiguang,xg
犀函	xihan,xh
犀火	xihuo,xh
犀甲	xijia,xj
犀检	xijian,xj
犀角	xijiao,xj
犀角带	xijiaodai,xjd
犀角烛怪	xijiaozhuguai,xjzg
犀军	xijun,xj
犀刻	xike,xk
犀胯	xikua,xk
犀利	xili,xl
犀利地	xilide,xld
犀颅玉颊	xiluyujia,xlyj
犀橹	xilu,xl
犀鸟	xiniao,xn
犀牛	xiniu,xn
犀牛望月	xiniuwangyue,xnwy
犀弩	xinu,xn
犀盘	xipan,xp
犀皮	xipi,xp
犀毗	xipi,xp
犀仆	xipu,xp
犀钱	xiqian,xq
犀渠	xiqu,xq
犀燃	xiran,xr
犀燃烛照	xiranzhuzhao,xrzz
犀锐	xirui,xr
犀首	xishou,xs
犀梳	xishu,xs
犀兕	xisi,xs
犀锁	xisuo,xs
犀帖	xitie,xt
犀围	xiwei,xw
犀纹	xiwen,xw
犀象	xixiang,xx
犀象管	xixiangguan,xxg
犀轩	xixuan,xx
犀焰	xiyan,xy
犀玉	xiyu,xy
犀簪	xizan,xz
犀札	xizha,xz
犀杖	xizhang,xz
犀照	xizhao,xz
犀照牛渚	xizhaoniuzhu,xznz
犀栉	xizhi,xz
犀舟	xizhou,xz
犀轴	xizhou,xz
犀株	xizhu,xz
犀麈	xizhu,xz
犀筯	xizhu,xz
犀椎	xizhui,xz
犀卒	xizu,xz
