状呈	zhuangcheng,zc
状词	zhuangci,zc
状牒	zhuangdie,zd
状儿	zhuanger,ze
状副	zhuangfu,zf
状告	zhuanggao,zg
状故	zhuanggu,zg
状候	zhuanghou,zh
状迹	zhuangji,zj
状结	zhuangjie,zj
状况	zhuangkuang,zk
状类	zhuanglei,zl
状略	zhuanglue,zl
状皃	zhuangmao,zm
状貌	zhuangmao,zm
状匿	zhuangni,zn
状铺	zhuangpu,zp
状容	zhuangrong,zr
状声词	zhuangshengci,zsc
状式	zhuangshi,zs
状首	zhuangshou,zs
状态	zhuangtai,zt
状态动词	zhuangtaidongci,ztdc
状头	zhuangtou,zt
状物	zhuangwu,zw
状写	zhuangxie,zx
状样	zhuangyang,zy
状语	zhuangyu,zy
状元	zhuangyuan,zy
状元筹	zhuangyuanchou,zyc
状元红	zhuangyuanhong,zyh
状元花	zhuangyuanhua,zyh
状元令	zhuangyuanling,zyl
状元雨	zhuangyuanyu,zyy
状招	zhuangzhao,zz
状纸	zhuangzhi,zz
状子	zhuangzi,zz
状字	zhuangzi,zz
