狠闇	henan,ha
狠巴巴	henba,hb
狠愎	henbi,hb
狠毒	hendu,hd
狠毒地	hendude,hdd
狠恶	hene,he
狠刚	hengang,hg
狠狠	hen,h
狠狠地	hende,hd
狠狠地扁一顿	hendebianyidun,hdbyd
狠狠地踩几下	hendecaijixia,hdcjx
狠狠地插进	hendechajin,hdcj
狠狠地打	hendeda,hdd
狠狠地打击了	hendedajile,hddjl
狠狠地罚	hendefa,hdf
狠狠地教训	hendejiaoxun,hdjx
狠狠地骂道	hendemadao,hdmd
狠狠地掐了一把	hendeqialeyiba,hdqlyb
狠狠地亲了一下	hendeqinleyixia,hdqlyx
狠狠地说	hendeshuo,hds
狠狠地咬了一口	hendeyaoleyikou,hdylyk
狠狠地砸在	hendezazai,hdzz
狠狠地追	hendezhui,hdz
狠话	henhua,hh
狠骄	henjiao,hj
狠劲	henjin,hj
狠赳赳	henjiu,hj
狠酒	henjiu,hj
狠绝	henjue,hj
狠獗獗	henjue,hj
狠刻	henke,hk
狠酷	henku,hk
狠辣	henla,hl
狠戾	henli,hl
狠劣	henlie,hl
狠命	henming,hm
狠虐	hennue,hn
狠强	henqiang,hq
狠切	henqie,hq
狠声	hensheng,hs
狠石	henshi,hs
狠透铁	hentoutie,htt
狠突	hentu,ht
狠心	henxin,hx
狠心辣手	henxinlashou,hxls
狠性子	henxingzi,hxz
狠悻	henxing,hx
狠鸷	henzhi,hz
狠抓	henzhua,hz
狠揍	henzou,hz
