玛德琳	madelin,mdl
玛迪达	madida,mdd
玛窦	madou,md
玛窦福音	madoufuyin,mdfy
玛多	maduo,md
玛多县	maduoxian,mdx
玛尔噶	maerga,meg
玛芬	mafen,mf
玛格丽特	magelite,mglt
玛家	majia,mj
玛家乡	majiaxiang,mjx
玛卡	maka,mk
玛克辛	makexin,mkx
玛拉基书	malajishu,mljs
玛拉基亚	malajiya,mljy
玛丽	mali,ml
玛丽亚	maliya,mly
玛丽娅	maliya,mly
玛利亚	maliya,mly
玛俐欧	maliou,mlo
玛律	malu,ml
玛拿西	manaxi,mnx
玛纳斯	manasi,mns
玛纳斯河	manasihe,mnsh
玛纳斯县	manasixian,mnsx
玛纳斯镇	manasizhen,mnsz
玛瑙	manao,mn
玛瑙贝	manaobei,mnb
玛尼	mani,mn
玛奇朵	maqiduo,mqd
玛沁	maqin,mq
玛沁县	maqinxian,mqx
玛曲	maqu,mq
玛曲县	maquxian,mqx
玛仁糖	marentang,mrt
玛莎拉蒂	mashaladi,msld
玛雅	maya,my
玛雅人	mayaren,myr
玛雅文化	mayawenhua,mywh
