瓜瓣	guaban,gb
瓜步	guabu,gb
瓜菜	guacai,gc
瓜畴	guachou,gc
瓜畴芋区	guachouyuqu,gcyq
瓜搭	guada,gd
瓜达尔	guadaer,gde
瓜达尔港	guadaergang,gdeg
瓜达卡纳尔岛	guadakanaerdao,gdkned
瓜达卡纳尔战役	guadakanaerzhanyi,gdknezy
瓜达拉哈拉	guadalaha,gdlh
瓜达拉马	guadalama,gdlm
瓜达拉马山	guadalamashan,gdlms
瓜代	guadai,gd
瓜德罗普	guadeluopu,gdlp
瓜地马拉	guadimala,gdml
瓜蒂	guadi,gd
瓜瓞	guadie,gd
瓜瓞绵绵	guadiemian,gdm
瓜渎	guadu,gd
瓜分	guafen,gf
瓜分鼎峙	guafendingzhi,gfdz
瓜分豆剖	guafendoupou,gfdp
瓜割	guage,gg
瓜葛	guage,gg
瓜葛相连	guagexianglian,ggxl
瓜果	guaguo,gg
瓜瓠	guahu,gh
瓜华	guahua,gh
瓜虀	guaji,gj
瓜祭	guaji,gj
瓜架	guajia,gj
瓜拉丁加奴	gualadingjianu,gldjn
瓜拉帽	gualamao,glm
瓜李	guali,gl
瓜李之嫌	gualizhixian,glzx
瓜连	gualian,gl
瓜连蔓引	gualianmanyin,glmy
瓜练	gualian,gl
瓜裂	gualie,gl
瓜蒌	gualou,gl
瓜庐	gualu,gl
瓜芦	gualu,gl
瓜蔓	guawan,gw
瓜蔓抄	guawanchao,gwc
瓜蔓水	guawanshui,gws
瓜米	guami,gm
瓜绵	guamian,gm
瓜拿纳	guana,gn
瓜牛	guaniu,gn
瓜牛庐	guaniulu,gnl
瓜纽	guaniu,gn
瓜农	guanong,gn
瓜皮	guapi,gp
瓜皮船	guapichuan,gpc
瓜皮搭李皮	guapidali,gpdl
瓜皮搭李树	guapidalishu,gpdls
瓜皮帽	guapimao,gpm
瓜皮艇	guapiting,gpt
瓜片	guapian,gp
瓜剖豆分	guapoudoufen,gpdf
瓜剖碁布	guapouqibu,gpqb
瓜戚	guaqi,gq
瓜期	guaqi,gq
瓜脐	guaqi,gq
瓜丘	guaqiu,gq
瓜区豆分	guaqudoufen,gqdf
瓜瓤	guarang,gr
瓜仁	guaren,gr
瓜润	guarun,gr
瓜时	guashi,gs
瓜熟	guashu,gs
瓜熟蒂落	guashudiluo,gsdl
瓜熟蔕落	guashudiluo,gsdl
瓜戍	guashu,gs
瓜藤	guateng,gt
瓜田	guatian,gt
瓜田不纳履	guatianbunalu,gtbnl
瓜田李下	guatianlixia,gtlx
瓜田之嫌	guatianzhixian,gtzx
瓜条	guatiao,gt
瓜娃子	guawazi,gwz
瓜犀	guaxi,gx
瓜衍	guayan,gy
瓜衍之赏	guayanzhishang,gyzs
瓜秧	guayang,gy
瓜饮	guayin,gy
瓜萤	guaying,gy
瓜战	guazhan,gz
瓜州	guazhou,gz
瓜州县	guazhouxian,gzx
瓜洲	guazhou,gz
瓜子	guazi,gz
瓜子不大是人心	guazibudashirenxin,gzbdsrx
瓜子儿	guazier,gze
瓜子儿脸	guazierlian,gzel
瓜子金	guazijin,gzj
瓜子脸	guazilian,gzl
瓜子仁儿	guazirener,gzre
瓜子玉	guaziyu,gzy
瓜字初分	guazichufen,gzcf
瓜菹	guazu,gz
