病案	bingan,ba
病包儿	bingbaoer,bbe
病痹	bingbi,bb
病弊	bingbi,bb
病蔽	bingbi,bb
病变	bingbian,bb
病病歪歪	bingwai,bw
病病殃殃	bingyang,by
病病恙恙	bingyang,by
病残	bingcan,bc
病草	bingcao,bc
病孱	bingchan,bc
病车	bingche,bc
病呈	bingcheng,bc
病程	bingcheng,bc
病酲	bingcheng,bc
病齿	bingchi,bc
病耻感	bingchigan,bcg
病虫	bingchong,bc
病虫害	bingchonghai,bch
病虫害绿色防控	bingchonghailusefangkong,bchlsfk
病疮	bingchuang,bc
病床	bingchuang,bc
病创	bingchuang,bc
病从口入	bingcongkouru,bckr
病殂	bingcu,bc
病悴	bingcui,bc
病瘁	bingcui,bc
病措大	bingcuoda,bcd
病倒	bingdao,bd
病蒂	bingdi,bd
病毒	bingdu,bd
病毒感染	bingduganran,bdgr
病毒科	bingduke,bdk
病毒式营销	bingdushiyingxiao,bdsyx
病毒性	bingduxing,bdx
病毒性肝炎	bingduxingganyan,bdxgy
病毒性营销	bingduxingyingxiao,bdxyx
病毒学	bingduxue,bdx
病毒学家	bingduxuejia,bdxj
病毒血症	bingduxuezheng,bdxz
病毒营销	bingduyingxiao,bdyx
病笃	bingdu,bd
病笃乱投医	bingduluantouyi,bdlty
病顿	bingdun,bd
病耳	binger,be
病乏	bingfa,bf
病坊	bingfang,bf
病房	bingfang,bf
病废	bingfei,bf
病痱	bingfei,bf
病风	bingfeng,bf
病风丧心	bingfengsangxin,bfsx
病夫	bingfu,bf
病革	bingji,bj
病根	binggen,bg
病钩	binggou,bg
病骨	binggu,bg
病骨支离	bingguzhili,bgzl
病蛊	binggu,bg
病故	binggu,bg
病国殃民	bingguoyangmin,bgym
病骸	binghai,bh
病害	binghai,bh
病号	binghao,bh
病号饭	binghaofan,bhf
病候	binghou,bh
病患	binghuan,bh
病恚	binghui,bh
病喙	binghui,bh
病机	bingji,bj
病肌	bingji,bj
病亟	bingji,bj
病急乱投医	bingjiluantouyi,bjlty
病疾	bingji,bj
病悸	bingji,bj
病家	bingjia,bj
病假	bingjia,bj
病假条	bingjiatiao,bjt
病脚	bingjiao,bj
病竞	bingjing,bj
病酒	bingjiu,bj
病疚	bingjiu,bj
病句	bingju,bj
病菌	bingjun,bj
病渴	bingke,bk
病客	bingke,bk
病苦	bingku,bk
病狂	bingkuang,bk
病狂丧心	bingkuangsangxin,bksx
病况	bingkuang,bk
病困	bingkun,bk
病累	binglei,bl
病理	bingli,bl
病理地	binglide,bld
病理切片	bingliqiepian,blqp
病理学	binglixue,blx
病理学家	binglixuejia,blxj
病力	bingli,bl
病历	bingli,bl
病利	bingli,bl
病例	bingli,bl
病疠	bingli,bl
病癃	binglong,bl
病脉	bingmai,bm
病梅馆记	bingmeiguanji,bmgj
病媒	bingmei,bm
病魅	bingmei,bm
病免	bingmian,bm
病民	bingmin,bm
病民蛊国	bingminguguo,bmgg
病民害国	bingminhaiguo,bmhg
病名	bingming,bm
病魔	bingmo,bm
病魔缠身	bingmochanshen,bmcs
病殁	bingmo,bm
病眸	bingmou,bm
病目	bingmu,bm
病能	bingneng,bn
病癖	bingpi,bp
病起	bingqi,bq
病气	bingqi,bq
病情	bingqing,bq
病区	bingqu,bq
病躯	bingqu,bq
病痊	bingquan,bq
病染膏肓	bingrangaohuang,brgh
病人	bingren,br
病容	bingrong,br
病入膏肓	bingrugaohuang,brgh
病入骨隨	bingrugusui,brgs
病入骨髓	bingrugusui,brgs
病弱	bingruo,br
病僧劝患僧	bingsengquanhuan,bsqh
病痁	bingshan,bs
病涉	bingshe,bs
病身	bingshen,bs
病沈	bingshen,bs
病史	bingshi,bs
病势	bingshi,bs
病室	bingshi,bs
病逝	bingshi,bs
病守	bingshou,bs
病瘦	bingshou,bs
病死	bingsi,bs
病俗	bingsu,bs
病榻	bingta,bt
病态	bingtai,bt
病态地	bingtaide,btd
病态肥胖	bingtaifeipang,btfp
病体	bingti,bt
病痛	bingtong,bt
病徒	bingtu,bt
病退	bingtui,bt
病歪歪	bingwai,bw
病忘	bingwang,bw
病危	bingwei,bw
病卧	bingwo,bw
病闲	bingxian,bx
病香	bingxiang,bx
病象	bingxiang,bx
病像	bingxiang,bx
病消	bingxiao,bx
病痟	bingxiao,bx
病邪	bingxie,bx
病心	bingxin,bx
病休	bingxiu,bx
病休假	bingxiujia,bxj
病恹恹	bingyan,by
病眼	bingyan,by
病魇	bingyan,by
病厌厌	bingyan,by
病殃殃	bingyang,by
病秧子	bingyangzi,byz
病暍	bingye,by
病叶	bingye,by
病已	bingyi,by
病议	bingyi,by
病疫	bingyi,by
病因	bingyin,by
病因学	bingyinxue,byx
病因子	bingyinzi,byz
病瘖	bingyin,by
病由口入	bingyoukouru,bykr
病友	bingyou,by
病窳	bingyu,by
病愈	bingyu,by
病员	bingyuan,by
病原	bingyuan,by
病原虫	bingyuanchong,byc
病原菌	bingyuanjun,byj
病原体	bingyuanti,byt
病源	bingyuan,by
病院	bingyuan,by
病在膏肓	bingzaigaohuang,bzgh
病灶	bingzao,bz
病杖	bingzhang,bz
病者	bingzhe,bz
病征	bingzheng,bz
病证	bingzheng,bz
病症	bingzheng,bz
病质	bingzhi,bz
病滞	bingzhi,bz
病重	bingzhong,bz
病株	bingzhu,bz
病状	bingzhuang,bz
病醉	bingzui,bz
