瘦巴巴	shouba,sb
瘦薄	shoubao,sb
瘦瘪	shoubie,sb
瘦病	shoubing,sb
瘦悴	shoucui,sc
瘦瘁	shoucui,sc
瘦顇	shoucui,sc
瘦岛	shoudao,sd
瘦高挑儿	shougaotiaoer,sgte
瘦骨	shougu,sg
瘦骨棱棱	shouguleng,sgl
瘦骨嶙嶙	shougulin,sgl
瘦骨嶙峋	shougulinxun,sglx
瘦骨伶仃	shougulingding,sgld
瘦骨零丁	shougulingding,sgld
瘦骨如柴	shouguruchai,sgrc
瘦骨梭棱	shougusuoleng,sgsl
瘦刮刮	shougua,sg
瘦寡	shougua,sg
瘦果	shouguo,sg
瘦鹤	shouhe,sh
瘦黑	shouhei,sh
瘦猴儿	shouhouer,she
瘦猴似的	shouhoushide,shsd
瘦瘠	shouji,sj
瘦脊	shouji,sj
瘦减	shoujian,sj
瘦健	shoujian,sj
瘦金书	shoujinshu,sjs
瘦筋筋	shoujin,sj
瘦劲	shoujing,sj
瘦精精	shoujing,sj
瘦客	shouke,sk
瘦括括	shoukuo,sk
瘦棱棱	shouleng,sl
瘦嶙嶙	shoulin,sl
瘦伶仃	shoulingding,sld
瘦伶伶	shouling,sl
瘦龙	shoulong,sl
瘦马	shouma,sm
瘦眉窄骨	shoumeizhaigu,smzg
瘦煤	shoumei,sm
瘦米	shoumi,sm
瘦牛	shouniu,sn
瘦愞	shounuo,sn
瘦俏	shouqiao,sq
瘦怯	shouqie,sq
瘦怯怯	shouqie,sq
瘦筇	shouqiong,sq
瘦臞	shouqu,sq
瘦癯	shouqu,sq
瘦缺	shouque,sq
瘦人	shouren,sr
瘦容	shourong,sr
瘦肉	shourou,sr
瘦肉精	shouroujing,srj
瘦肉型	shourouxing,srx
瘦弱	shouruo,sr
瘦弱地	shouruode,srd
瘦身	shoushen,ss
瘦生	shousheng,ss
瘦石	shoushi,ss
瘦受	shou,s
瘦瘦地	shoude,sd
瘦死的骆驼比马大	shousideluotuobimada,ssdltbmd
瘦损	shousun,ss
瘦田	shoutian,st
瘦香娇	shouxiangjiao,sxj
瘦小	shouxiao,sx
瘦削	shouxue,sx
瘦雪	shouxue,sx
瘦恹恹	shouyan,sy
瘦岩岩	shouyan,sy
瘦嵓嵓	shouyan,sy
瘦羊博士	shouyangboshi,sybs
瘦硬	shouying,sy
瘦长	shouchang,sc
瘦长地	shouchangde,scd
瘦长子	shouzhangzi,szz
瘦状	shouzhuang,sz
瘦子	shouzi,sz
