眉案	meian,ma
眉笔	meibi,mb
眉虫	meichong,mc
眉寸	meicun,mc
眉黛	meidai,md
眉端	meiduan,md
眉蛾	meie,me
眉飞目舞	meifeimuwu,mfmw
眉飞色舞	meifeisewu,mfsw
眉飞色悦	meifeiseyue,mfsy
眉飞眼笑	meifeiyanxiao,mfyx
眉峯	meifeng,mf
眉峯碧	meifengbi,mfb
眉峰	meifeng,mf
眉斧	meifu,mf
眉高眼低	meigaoyandi,mgyd
眉高眼下	meigaoyanxia,mgyx
眉弓	meigong,mg
眉耉	meigou,mg
眉耈	meigou,mg
眉毫	meihao,mh
眉痕	meihen,mh
眉膴	meiwu,mw
眉花眼笑	meihuayanxiao,mhyx
眉欢眼笑	meihuanyanxiao,mhyx
眉婚	meihun,mh
眉急	meiji,mj
眉嵴	meiji,mj
眉尖	meijian,mj
眉尖眼尾	meijianyanwei,mjyw
眉间	meijian,mj
眉间轮	meijianlun,mjl
眉间俏	meijianqiao,mjq
眉间锁	meijiansuo,mjs
眉匠	meijiang,mj
眉角	meijiao,mj
眉脚	meijiao,mj
眉结	meijie,mj
眉睫	meijie,mj
眉睫之祸	meijiezhihuo,mjzh
眉睫之内	meijiezhinei,mjzn
眉开眼笑	meikaiyanxiao,mkyx
眉来眼去	meilaiyanqu,mlyq
眉棱	meileng,ml
眉棱骨	meilenggu,mlg
眉连	meilian,ml
眉留目乱	meiliumuluan,mlml
眉柳	meiliu,ml
眉厖齿鲵	meimangchini,mmcn
眉毛	meimao,mm
眉毛胡子一把抓	meimaohuziyibazhua,mmhzybz
眉毛钳	meimaoqian,mmq
眉门	meimen,mm
眉面	meimian,mm
眉目	meimu,mm
眉目传情	meimuchuanqing,mmcq
眉目如画	meimuruhua,mmrh
眉南面北	meinanmianbei,mnmb
眉批	meipi,mp
眉癖	meipi,mp
眉谱	meipu,mp
眉清目朗	meiqingmulang,mqml
眉清目秀	meiqingmuxiu,mqmx
眉泉	meiquan,mq
眉山	meishan,ms
眉山市	meishanshi,mss
眉梢	meishao,ms
眉史	meishi,ms
眉势	meishi,ms
眉寿	meishou,ms
眉舒目展	meishumuzhan,msmz
眉头	meitou,mt
眉头不伸	meitoubushen,mtbs
眉头眼后	meitouyanhou,mtyh
眉头眼脑	meitouyannao,mtyn
眉头眼尾	meitouyanwei,mtyw
眉头一蹙	meitouyicu,mtyc
眉头一放	meitouyifang,mtyf
眉头一展	meitouyizhan,mtyz
眉头一皱	meitouyizhou,mtyz
眉头一纵	meitouyizong,mtyz
眉图	meitu,mt
眉弯	meiwan,mw
眉尾	meiwei,mw
眉妩	meiwu,mw
眉怃	meiwu,mw
眉下添眉	meixiatian,mxt
眉闲	meixian,mx
眉县	meixian,mx
眉心	meixin,mx
眉心轮	meixinlun,mxl
眉须	meixu,mx
眉诩	meixu,mx
眉轩	meixuan,mx
眉雪	meixue,mx
眉言	meiyan,my
眉眼	meiyan,my
眉眼传情	meiyanchuanqing,mycq
眉眼高低	meiyangaodi,mygd
眉眼如画	meiyanruhua,myrh
眉扬目展	meiyangmuzhan,mymz
眉样	meiyang,my
眉叶	meiye,my
眉靥	meiye,my
眉宇	meiyu,my
眉语	meiyu,my
眉语目笑	meiyumuxiao,mymx
眉月	meiyue,my
眉瑑	meizhuan,mz
眉子	meizi,mz
眉子坑	meizikeng,mzk
眉子石	meizishi,mzs
眉子砚	meiziyan,mzy
