石柏	shibai,sb
石斑鱼	shibanyu,sby
石坂	shiban,sb
石板	shiban,sb
石板路	shibanlu,sbl
石板瓦	shibanwa,sbw
石版	shiban,sb
石帮岸	shibangan,sba
石榜	shibang,sb
石牓	shibang,sb
石碑	shibei,sb
石碑丕	shibeipi,sbp
石锛	shiben,sb
石本	shiben,sb
石鼻	shibi,sb
石笔	shibi,sb
石壁	shibi,sb
石璧	shibi,sb
石表	shibiao,sb
石鳖	shibie,sb
石鼈	shibie,sb
石钵	shibo,sb
石步	shibu,sb
石材	shicai,sc
石槽	shicao,sc
石策	shice,sc
石层	shiceng,sc
石菖蒲	shichangpu,scp
石肠	shichang,sc
石朝官	shichaoguan,scg
石坼	shiche,sc
石沉大海	shichendahai,scdh
石承	shicheng,sc
石城	shicheng,sc
石城汤池	shichengtangchi,sctc
石城县	shichengxian,scx
石齿	shichi,sc
石赤不夺	shichibuduo,scbd
石础	shichu,sc
石川	shichuan,sc
石窗	shichuang,sc
石床	shichuang,sc
石幢	shichuang,sc
石淙	shicong,sc
石醋醋	shicu,sc
石埭	shidai,sd
石黛	shidai,sd
石担	shidan,sd
石甔	shidan,sd
石胆	shidan,sd
石铛	shicheng,sc
石刀	shidao,sd
石道	shidao,sd
石地	shidi,sd
石蹬	shideng,sd
石隥	shideng,sd
石磴	shideng,sd
石镫	shideng,sd
石隄	shidi,sd
石堤	shidi,sd
石殿	shidian,sd
石刁柏	shidiaobai,sdb
石碉	shidiao,sd
石雕	shidiao,sd
石鼎	shiding,sd
石矴	shiding,sd
石碇	shiding,sd
石碇乡	shidingxiang,sdx
石冻	shidong,sd
石冻春	shidongchun,sdc
石洞	shidong,sd
石斗	shidou,sd
石窦	shidou,sd
石端明	shiduanming,sdm
石碓	shidui,sd
石墩	shidun,sd
石囤	shidun,sd
石垩	shie,se
石堨	shiai,sa
石锷	shie,se
石耳	shier,se
石发	shifa,sf
石筏	shifa,sf
石帆	shifan,sf
石方	shifang,sf
石坊	shifang,sf
石房	shifang,sf
石舫	shifang,sf
石扉	shifei,sf
石粉	shifen,sf
石封	shifeng,sf
石峯	shifeng,sf
石峰区	shifengqu,sfq
石跗	shifu,sf
石浮	shifu,sf
石斧	shifu,sf
石妇	shifu,sf
石阜	shifu,sf
石鳆	shifu,sf
石肝	shigan,sg
石敢当	shigandang,sgd
石冈	shigang,sg
石冈乡	shigangxiang,sgx
石纲	shigang,sg
石矼	shigang,sg
石岗	shigang,sg
石杠	shigang,sg
石膏	shigao,sg
石膏绷带	shigaobengdai,sgbd
石膏墙板	shigaoqiangban,sgqb
石阁	shige,sg
石根	shigen,sg
石工	shigong,sg
石弓	shigong,sg
石宫	shigong,sg
石碽	shigong,sg
石拱桥	shigongqiao,sgq
石沟	shigou,sg
石谷	dangu,dg
石骨	shigu,sg
石鼓	shigu,sg
石鼓区	danguqu,dgq
石鼓书院	shigushuyuan,sgsy
石鼓文	shiguwen,sgw
石拐区	shiguaiqu,sgq
石关	shiguan,sg
石棺	shiguan,sg
石馆	shiguan,sg
石犷	shiguang,sg
