硬拗	yingao,ya
硬搬	yingban,yb
硬邦邦	yingbang,yb
硬帮	yingbang,yb
硬帮帮	yingbang,yb
硬梆	yingbang,yb
硬梆梆	yingbang,yb
硬棒	yingbang,yb
硬棒棒	yingbang,yb
硬绷	yingbeng,yb
硬绷绷	yingbeng,yb
硬蹦蹦	yingbeng,yb
硬逼	yingbi,yb
硬笔	yingbi,yb
硬笔书法	yingbishufa,ybsf
硬币	yingbi,yb
硬币坯	yingbipi,ybp
硬閟	yingbi,yb
硬编码	yingbianma,ybm
硬撑	yingcheng,yc
硬撑门面	yingchengmenmian,ycmm
硬掁	yingcheng,yc
硬充	yingchong,yc
硬触触	yingchu,yc
硬磁盘	yingcipan,ycp
硬打捱	yingdaai,yda
硬打挣	yingdazheng,ydz
硬胆	yingdan,yd
硬底子	yingdizi,ydz
硬碟	yingdie,yd
硬顶	yingding,yd
硬顶跑车	yingdingpaoche,ydpc
硬度	yingdu,yd
硬腭	yinge,ye
硬干	yinggan,yg
硬弓	yinggong,yg
硬功	yinggong,yg
硬功夫	yinggongfu,ygf
硬古古	yinggu,yg
硬骨头	yinggutou,ygt
硬骨鱼	yingguyu,ygy
硬拐	yingguai,yg
硬拐拐	yingguai,yg
硬灌	yingguan,yg
硬鬼	yinggui,yg
硬汉	yinghan,yh
硬汉子	yinghanzi,yhz
硬核	yinghe,yh
硬化	yinghua,yh
硬话	yinghua,yh
硬环境	yinghuanjing,yhj
硬黄	yinghuang,yh
硬火	yinghuo,yh
硬货	yinghuo,yh
硬记	yingji,yj
硬件	yingjian,yj
硬件平台	yingjianpingtai,yjpt
硬结	yingjie,yj
硬劲	yingjin,yj
硬绢	yingjuan,yj
硬撅撅	yingjue,yj
硬倔倔	yingjue,yj
硬蹶蹶	yingjue,yj
硬军	yingjun,yj
硬壳	yingke,yk
硬壳果	yingkeguo,ykg
硬口	yingkou,yk
硬来	yinglai,yl
硬朗	yinglang,yl
硬浪	yinglang,yl
硬雷	yinglei,yl
硬劣	yinglie,yl
硬领	yingling,yl
硬陆	yinglu,yl
硬煤	yingmei,ym
硬门槛子	yingmenkanzi,ymkz
硬面	yingmian,ym
硬命	yingming,ym
硬模	yingmo,ym
硬木	yingmu,ym
硬目标	yingmubiao,ymb
硬捻	yingnian,yn
硬牌	yingpai,yp
硬派	yingpai,yp
硬盘	yingpan,yp
硬磐	yingpan,yp
硬碰硬	yingpeng,yp
硬皮	yingpi,yp
硬拼	yingpin,yp
硬气	yingqi,yq
硬戗	yingqiang,yq
硬抢	yingqiang,yq
硬翘翘	yingqiao,yq
硬任务	yingrenwu,yrw
硬蕊	yingrui,yr
硬涩	yingse,ys
硬山	yingshan,ys
硬伤	yingshang,ys
硬生生	yingsheng,ys
硬生生地	yingshengde,ysd
硬声硬气	yingshengqi,ysq
硬石膏	yingshigao,ysg
硬实	yingshi,ys
硬实力	yingshili,ysl
硬式磁碟机	yingshicidieji,yscdj
硬是	yingshi,ys
硬手	yingshou,ys
硬水	yingshui,ys
硬说	yingshuo,ys
硬搠搠	yingshuo,ys
硬松	yingsong,ys
硬酸	yingsuan,ys
硬胎	yingtai,yt
硬糖	yingtang,yt
硬套	yingtao,yt
硬体	yingti,yt
硬铁汉	yingtiehan,yth
硬挺	yingting,yt
硬通货	yingtonghuo,yth
硬推	yingtui,yt
硬卧	yingwo,yw
硬席	yingxi,yx
硬行	yingxing,yx
硬性	yingxing,yx
硬洋	yingyang,yy
硬要	yingyao,yy
硬译	yingyi,yy
硬硬地	yingde,yd
硬雨	yingyu,yy
硬语	yingyu,yy
硬语盘空	yingyupankong,yypk
硬玉	yingyu,yy
硬扎	yingzha,yz
硬寨	yingzhai,yz
硬张	yingzhang,yz
硬仗	yingzhang,yz
硬着陆	yingzhuolu,yzl
硬着头皮	yingzhetoupi,yztp
硬挣	yingzheng,yz
硬挣挣	yingzheng,yz
硬挣子	yingzhengzi,yzz
硬铮	yingzheng,yz
硬铮铮	yingzheng,yz
硬正	yingzheng,yz
硬正气	yingzhengqi,yzq
硬证	yingzheng,yz
硬诤	yingzheng,yz
硬支杀	yingzhisha,yzs
硬脂	yingzhi,yz
硬脂酸	yingzhisuan,yzs
硬脂酸钙	yingzhisuangai,yzsg
硬直	yingzhi,yz
硬纸	yingzhi,yz
硬纸板	yingzhiban,yzb
硬指标	yingzhibiao,yzb
硬质合金	yingzhihejin,yzhj
硬座	yingzuo,yz
