磊叠	leidie,ld
磊硌	leige,lg
磊瑰不羁	leiguibuji,lgbj
磊瑰不覉	leiguibuji,lgbj
磊佹	leigui,lg
磊垝	leigui,lg
磊硊	leiwei,lw
磊珂	leike,lk
磊砢	leiluo,ll
磊块	leikuai,lk
磊魁	leikui,lk
磊浪	leilang,ll
磊浪不羁	leilangbuji,llbj
磊磊	lei,l
磊磊落落	leiluo,ll
磊磊明明	leiming,lm
磊荦	leiluo,ll
磊落	leiluo,ll
磊落不凡	leiluobufan,llbf
磊落不羁	leiluobuji,llbj
磊落不羇	leiluobuji,llbj
磊落不覊	leiluobuji,llbj
磊落大方	leiluodafang,lldf
磊落光明	leiluoguangming,llgm
磊落豪横	leiluohaoheng,llhh
磊落飒爽	leiluosashuang,llss
磊落轶荡	leiluoyidang,llyd
磊嵬	leiwei,lw
磊隗	leiwei,lw
磊磈	leiwei,lw
