秽奥	huiao,ha
秽笔	huibi,hb
秽菜	huicai,hc
秽草	huicao,hc
秽尘	huichen,hc
秽臭	huichou,hc
秽德	huide,hd
秽德垢行	huidegouxing,hdgx
秽渎	huidu,hd
秽黩	huidu,hd
秽多	huiduo,hd
秽恶	huie,he
秽垢	huigou,hg
秽貉	huimo,hm
秽荒	huihuang,hh
秽荟	hui,h
秽混	huihun,hh
秽溷	huihun,hh
秽货	huihuo,hh
秽疾	huiji,hj
秽迹	huiji,hj
秽迹呪	huijizhou,hjz
秽贱	huijian,hj
秽滥	huilan,hl
秽累	huilei,hl
秽詈	huili,hl
秽廉	huilian,hl
秽裂	huilie,hl
秽陋	huilou,hl
秽乱	huiluan,hl
秽骂	huima,hm
秽嫚	huiman,hm
秽莽	huimang,hm
秽毛	huimao,hm
秽貊	huimo,hm
秽囊	huinang,hn
秽匿	huini,hn
秽气	huiqi,hq
秽器	huiqi,hq
秽倾	huiqing,hq
秽壤	huirang,hr
秽人	huiren,hr
秽辱	huiru,hr
秽膻	huishan,hs
秽身	huishen,hs
秽声	huisheng,hs
秽湿	huishi,hs
秽史	huishi,hs
秽水	huishui,hs
秽俗	huisu,hs
秽琐	huisuo,hs
秽谈	huitan,ht
秽慝	huite,ht
秽土	huitu,ht
秽闻	huiwen,hw
秽污	huiwu,hw
秽诬	huiwu,hw
秽芜	huiwu,hw
秽物	huiwu,hw
秽仙	huixian,hx
秽屑	huixie,hx
秽亵	huixie,hx
秽媟	huixie,hx
秽衅	huixin,hx
秽行	huixing,hx
秽墟	huixu,hx
秽穴	huixue,hx
秽言	huiyan,hy
秽言污语	huiyanwuyu,hywy
秽用	huiyong,hy
秽语	huiyu,hy
秽杂	huiza,hz
秽志	huizhi,hz
秽质	huizhi,hz
秽状	huizhuang,hz
秽浊	huizhuo,hz
秽滓	huizi,hz
秽訾	huizi,hz
秽渍	huizi,hz
