稀巴烂	xibalan,xbl
稀薄	xibo,xb
稀本	xiben,xb
稀扁	xibian,xb
稀不相干	xibuxianggan,xbxg
稀诧	xicha,xc
稀成性地	xichengxingde,xcxd
稀稠	xichou,xc
稀代	xidai,xd
稀淡	xidan,xd
稀饭	xifan,xf
稀觏	xigou,xg
稀罕	xihan,xh
稀糊烂	xihulan,xhl
稀豁	xihuo,xh
稀货	xihuo,xh
稀即地	xijide,xjd
稀穊	xiji,xj
稀间	xijian,xj
稀简	xijian,xj
稀绝	xijue,xj
稀客	xike,xk
稀空	xikong,xk
稀旷	xikuang,xk
稀阔	xikuo,xk
稀拉	xila,xl
稀剌剌	xila,xl
稀烂	xilan,xl
稀朗	xilang,xl
稀里光当	xiliguangdang,xlgd
稀里呼噜	xilihulu,xlhl
稀里糊涂	xilihutu,xlht
稀里花拉	xilihuala,xlhl
稀里哗啦	xilihuala,xlhl
稀里马虎	xilimahu,xlmh
稀零零	xiling,xl
稀零零地	xilingde,xld
稀龄	xiling,xl
稀溜溜	xiliu,xl
稀乱	xiluan,xl
稀落	xiluo,xl
稀糜	ximi,xm
稀密	ximi,xm
稀灭	ximie,xm
稀嫩	xinen,xn
稀泥	xini,xn
稀年	xinian,xn
稀僻	xipi,xp
稀破	xipo,xp
稀奇	xiqi,xq
稀奇古怪	xiqiguguai,xqgg
稀奇古怪地	xiqiguguaide,xqggd
稀迁	xiqian,xq
稀缺	xique,xq
稀软	xiruan,xr
稀散	xisan,xs
稀散元素	xisanyuansu,xsys
稀少	xishao,xs
稀少地	xishaode,xsd
稀省	xisheng,xs
稀湿	xishi,xs
稀世	xishi,xs
稀世之宝	xishizhibao,xszb
稀释	xishi,xs
稀释地	xishide,xsd
稀疎	xishu,xs
稀疏	xishu,xs
稀疏地	xishude,xsd
稀松	xisong,xs
稀松骨质	xisongguzhi,xsgz
稀碎	xisui,xs
稀汤寡水	xitangguashui,xtgs
稀土	xitu,xt
稀土金属	xitujinshu,xtjs
稀土元素	xituyuansu,xtys
稀微	xiwei,xw
稀稀	xi,x
稀稀拉拉	xila,xl
稀稀落落	xiluo,xl
稀星	xixing,xx
稀有	xiyou,xy
稀有金属	xiyoujinshu,xyjs
稀有气体	xiyouqiti,xyqt
稀有元素	xiyouyuansu,xyys
稀糟	xizao,xz
稀珍	xizhen,xz
稀粥	xizhou,xz
