程不识	chengbushi,cbs
程步高	chengbugao,cbg
程才	chengcai,cc
程材	chengcai,cc
程策	chengce,cc
程程	cheng,c
程错	chengcuo,cc
程大位	chengdawei,cdw
程典	chengdian,cd
程督	chengdu,cd
程度	chengdu,cd
程度地	chengdude,cdd
程顿	chengdun,cd
程法	chengfa,cf
程方	chengfang,cf
程工	chenggong,cg
程功	chenggong,cg
程海湖	chenghaihu,chh
程颢	chenghao,ch
程姬之疾	chengjizhi,cjz
程级	chengji,cj
程较	chengjiao,cj
程敬	chengjing,cj
程酒	chengjiu,cj
程君	chengjun,cj
程考	chengkao,ck
程课	chengke,ck
程控	chengkong,ck
程控电话	chengkongdianhua,ckdh
程控交换机	chengkongjiaohuanji,ckjhj
程老	chenglao,cl
程李	chengli,cl
程吏	chengli,cl
程隶	chengli,cl
程粮	chengliang,cl
程量	chengliang,cl
程露	chenglu,cl
程律	chenglu,cl
程罗	chengluo,cl
程门度雪	chengmenduxue,cmdx
程门飞雪	chengmenfeixue,cmfx
程门立雪	chengmenlixue,cmlx
程糜	chengmi,cm
程邈	chengmiao,cm
程命	chengming,cm
程墨	chengmo,cm
程能	chengneng,cn
程篇	chengpian,cp
程品	chengpin,cp
程期	chengqi,cq
程气	chengqi,cq
程巧	chengqiao,cq
程日	chengri,cr
程若	chengruo,cr
程式	chengshi,cs
程式动作	chengshidongzuo,csdz
程式码	chengshima,csm
程式语言	chengshiyuyan,csyy
程试	chengshi,cs
程书	chengshu,cs
程邃	chengsui,cs
程头	chengtou,ct
程途	chengtu,ct
程位	chengwei,cw
程文	chengwen,cw
程限	chengxian,cx
程効	chengxiao,cx
程效	chengxiao,cx
程校	chengxiao,cx
程歇	chengxie,cx
程行	chengxing,cx
程序	chengxu,cx
程序动作	chengxudongzuo,cxdz
程序法	chengxufa,cxf
程序控制	chengxukongzhi,cxkz
程序库	chengxuku,cxk
程序码	chengxuma,cxm
程序设计	chengxusheji,cxsj
程序性	chengxuxing,cxx
程序员	chengxuyuan,cxy
程序猿	chengxuyuan,cxy
程砚秋	chengyanqiu,cyq
程咬金	chengyaojin,cyj
程业	chengye,cy
程仪	chengyi,cy
程颐	chengyi,cy
程役	chengyi,cy
程荫	chengyin,cy
程昱	chengyu,cy
程约	chengyue,cy
程择	chengze,cz
程朱	chengzhu,cz
程朱理学	chengzhulixue,czlx
程朱学派	chengzhuxuepai,czxp
程朱之学	chengzhuzhixue,czzx
程准	chengzhun,cz
程子	chengzi,cz
程子衣	chengziyi,czy
程奏	chengzou,cz
