笼阿	longa,la
笼绊	longban,lb
笼鞭	longbian,lb
笼饼	longbing,lb
笼篰	longbu,lb
笼臿	longcha,lc
笼葱	longcong,lc
笼葱竹	longcongzhu,lcz
笼丛	longcong,lc
笼灯	longdeng,ld
笼东	longdong,ld
笼侗	longdong,ld
笼鹅	longe,le
笼鹅家世	longejiashi,lejs
笼而统之	longertongzhi,letz
笼藩	longfan,lf
笼樊	longfan,lf
笼坊	longfang,lf
笼盖	longgai,lg
笼钩	longgou,lg
笼毂	longgu,lg
笼官	longguan,lg
笼冠	longguan,lg
笼合	longhe,lh
笼豢	longhuan,lh
笼火	longhuo,lh
笼驾	longjia,lj
笼街	longjie,lj
笼街喝道	longjiehedao,ljhd
笼巾	longjin,lj
笼聚	longju,lj
笼槛	longjian,lj
笼口戏	longkouxi,lkx
笼括	longkuo,lk
笼里抓鸡	longlizhuaji,llzj
笼利	longli,ll
笼笼	long,l
笼炉	longlu,ll
笼罗	longluo,ll
笼络	longluo,ll
笼络人心	longluorenxin,llrx
笼落	longluo,ll
笼媒	longmei,lm
笼门	longmen,lm
笼蒙	longmeng,lm
笼捻	longnian,ln
笼鸟	longniao,ln
笼鸟池鱼	longniaochiyu,lncy
笼鸟槛猿	longniaojianyuan,lnjy
笼笯	longnu,ln
笼箧	longqie,lq
笼禽	longqin,lq
笼禽槛兽	longqinkanshou,lqks
笼取	longqu,lq
笼圈	longquan,lq
笼裙	longqun,lq
笼肉	longrou,lr
笼纱	longsha,ls
笼山络野	longshanluoye,lsly
笼松	longsong,ls
笼屉	longti,lt
笼铜	longtong,lt
笼僮	longtong,lt
笼统	longtong,lt
笼统地喊	longtongdehan,ltdh
笼统地讲	longtongdejiang,ltdj
笼统地说	longtongdeshuo,ltds
笼头	longtou,lt
笼脱	longtuo,lt
笼箨	longtuo,lt
笼狎	longxia,lx
笼弦	longxian,lx
笼鞋	longxie,lx
笼鞵	longxie,lx
笼袖	longxiu,lx
笼驯	longxun,lx
笼养	longyang,ly
笼莺	longying,ly
笼籞	longyu,ly
笼仗	longzhang,lz
笼照	longzhao,lz
笼罩	longzhao,lz
笼着手	longzhuoshou,lzs
笼絷	longzhi,lz
笼制	longzhi,lz
笼致	longzhi,lz
笼中之鸟	longzhongzhiniao,lzzn
笼竹	longzhu,lz
笼烛	longzhu,lz
笼子	longzi,lz
笼总	longzong,lz
笼愡	longcong,lc
笼嘴	longzui,lz
