管扳手	guanbanshou,gbs
管扳子	guanbanzi,gbz
管包	guanbao,gb
管胞	guanbao,gb
管饱	guanbao,gb
管保	guanbao,gb
管鲍	guanbao,gb
管鲍分金	guanbaofenjin,gbfj
管鲍交	guanbaojiao,gbj
管鲍之交	guanbaozhijiao,gbzj
管闭	guanbi,gb
管壁	guanbi,gb
管不着	guanbuzhao,gbz
管材	guancai,gc
管蔡	guancai,gc
管车	guanche,gc
管城	guancheng,gc
管城公	guanchenggong,gcg
管城侯	guanchenghou,gch
管城回族区	guanchenghuizuqu,gchzq
管城君	guanchengjun,gcj
管城毛颖	guanchengmaoying,gcmy
管城区	guanchengqu,gcq
管城颖	guanchengying,gcy
管城子	guanchengzi,gcz
管带	guandai,gd
管待	guandai,gd
管躭	guandan,gd
管当	guandang,gd
管道	guandao,gd
管道系统	guandaoxitong,gdxt
管道运输	guandaoyunshu,gdys
管得着	guandezhao,gdz
管灯	guandeng,gd
管定	guanding,gd
管东管西	guandongxi,gdx
管段	guanduan,gd
管顿	guandun,gd
管多	guanduo,gd
管儿	guaner,ge
管儿灯	guanerdeng,ged
管饭	guanfan,gf
管风琴	guanfengqin,gfq
管夫人	guanfuren,gfr
管干	guangan,gg
管槀	guangao,gg
管葛	guange,gg
管工	guangong,gg
管公堂	guangongtang,ggt
管勾	guangou,gg
管顾	guangu,gg
管雇	guangu,gg
管管	guan,g
管国	guanguo,gg
管涵	guanhan,gh
管翰	guanhan,gh
管毫	guanhao,gh
管桁	guanheng,gh
管护	guanhu,gh
管华	guanhua,gh
管记	guanji,gj
管家	guanjia,gj
管家婆	guanjiapo,gjp
管家职务	guanjiazhiwu,gjzw
管驾	guanjia,gj
管见	guanjian,gj
管见所及	guanjiansuoji,gjsj
管键	guanjian,gj
管交	guanjiao,gj
管叫	guanjiao,gj
管教	guanjiao,gj
管教所	guanjiaosuo,gjs
管教无方	guanjiaowufang,gjwf
管节	guanjie,gj
管界	guanjie,gj
管劲	guanjin,gj
管井	guanjing,gj
管拘	guanju,gj
管句	guanju,gj
管军	guanjun,gj
管控	guankong,gk
管库	guanku,gk
管窥	guankui,gk
管窥虎	guankuihu,gkh
管窥筐举	guankuikuangju,gkkj
管窥蠡测	guankuilice,gklc
管窥所及	guankuisuoji,gksj
管窥蛙见	guankuiwajian,gkwj
管窥之见	guankuizhijian,gkzj
管窥之说	guankuizhishuo,gkzs
管朗	guanlang,gl
管乐	guanyue,gy
管乐队	guanyuedui,gyd
管乐器	guanyueqi,gyq
管蠡	guanli,gl
管蠡窥测	guanlikuice,glkc
管理	guanli,gl
管理层收购	guanlicengshougou,glcsg
管理费	guanlifei,glf
管理功能	guanligongneng,glgn
管理接口	guanlijiekou,gljk
管理人	guanliren,glr
管理委员会	guanliweiyuanhui,glwyh
管理信息库	guanlixinxiku,glxxk
管理学	guanlixue,glx
管理学院	guanlixueyuan,glxy
管理员	guanliyuan,gly
管理站	guanlizhan,glz
管领	guanling,gl
管辂	guanlu,gl
管路	guanlu,gl
管络	guanluo,gl
管内	guannei,gn
管你	guanni,gn
管宁割席	guanninggexi,gngx
管宁榻	guanningta,gnt
管片	guanpian,gp
管钳	guanqian,gq
管浅	guanqian,gq
管青	guanqing,gq
管情	guanqing,gq
管情取	guanqingqu,gqq
管请	guanqing,gq
管区	guanqu,gq
管取	guanqu,gq
管搉	guanque,gq
管榷	guanque,gq
管人	guanren,gr
管色	guanse,gs
管纱	guansha,gs
管山吃山	guanshanchi,gsc
管擅	guanshan,gs
管商	guanshang,gs
管摄	guanshe,gs
管谁筋疼	guanshuijinteng,gsjt
管事	guanshi,gs
管视	guanshi,gs
管是	guanshi,gs
管手管脚	guanshoujiao,gsj
管叔	guanshu,gs
管属	guanshu,gs
管束	guanshu,gs
管水吃水	guanshuichi,gsc
管说	guanshuo,gs
管丝	guansi,gs
管饲	guansi,gs
管送的	guansongde,gsd
管他	guanta,gt
管他的	guantade,gtd
管他呢	guantane,gtn
管他三七二十一	guantasanqiershiyi,gtsqesy
管它	guanta,gt
管套	guantao,gt
管彤	guantong,gt
管头	guantou,gt
管秃唇焦	guantuchunjiao,gtcj
管维	guanwei,gw
管委会	guanweihui,gwh
管隰	guanxi,gx
管系	guanxi,gx
管辖	guanxia,gx
管辖地	guanxiade,gxd
管辖区	guanxiaqu,gxq
管下	guanxia,gx
管闲事	guanxianshi,gxs
管弦	guanxian,gx
管弦乐	guanxianyue,gxy
管弦乐队	guanxianyuedui,gxyd
管弦乐团	guanxianyuetuan,gxyt
管线	guanxian,gx
管响	guanxiang,gx
管萧	guanxiao,gx
管须	guanxu,gx
管许	guanxu,gx
管靴	guanxue,gx
管穴	guanxue,gx
管押	guanya,gy
管晏	guanyan,gy
管钥	guanyue,gy
管业	guanye,gy
管音	guanyin,gy
管营	guanying,gy
管用	guanyong,gy
管圆线虫	guanyuanxianchong,gyxc
管龠	guanyue,gy
管籥	guanyue,gy
管韵	guanyun,gy
管张	guanzhang,gz
管帐	guanzhang,gz
管账	guanzhang,gz
管照	guanzhao,gz
管着	guanzhe,gz
管执	guanzhi,gz
管制	guanzhi,gz
管治	guanzhi,gz
管中窥豹	guanzhongkuibao,gzkb
