箭袄	jianao,ja
箭拔弩张	jianbanuzhang,jbnz
箭靶子	jianbazi,jbz
箭波	jianbo,jb
箭不虚发	jianbuxufa,jbxf
箭步	jianbu,jb
箭擦	jianca,jc
箭靫	jiancha,jc
箭筹	jianchou,jc
箭穿雁嘴	jianchuanyanzui,jcyz
箭穿着雁口	jianchuanzheyankou,jczyk
箭窗	jianchuang,jc
箭道	jiandao,jd
箭滴	jiandi,jd
箭毒木	jiandumu,jdm
箭毒蛙	jianduwa,jdw
箭端	jianduan,jd
箭垛	jianduo,jd
箭房	jianfang,jf
箭风	jianfeng,jf
箭服	jianfu,jf
箭箙	jianfu,jf
箭杆	jiangan,jg
箭竿	jiangan,jg
箭竿白	jianganbai,jgb
箭笴	jiangan,jg
箭簳	jiangan,jg
箭干	jiangan,jg
箭干白	jianganbai,jgb
箭槀	jiangao,jg
箭栝	jiangua,jg
箭壶	jianhu,jh
箭箶	jianhu,jh
箭笄	jianji,jj
箭脚	jianjiao,jj
箭金	jianjin,jj
箭径	jianjing,jj
箭局	jianju,jj
箭决	jianjue,jj
箭诀	jianjue,jj
箭刻	jianke,jk
箭括	jiankuo,jk
箭筈	jiankuo,jk
箭楼	jianlou,jl
箭漏	jianlou,jl
箭萌	jianmeng,jm
箭苗	jianmiao,jm
箭牌	jianpai,jp
箭旗	jianqi,jq
箭箬	jianruo,jr
箭矢	jianshi,js
箭室	jianshi,js
箭手	jianshou,js
箭书	jianshu,js
箭水	jianshui,js
箭笋	jiansun,js
箭筩	jianyong,jy
箭筒	jiantong,jt
箭头	jiantou,jt
箭头键	jiantou,jt
箭弦	jianxian,jx
箭袖	jianxiu,jx
箭眼	jianyan,jy
箭猺	jianyao,jy
箭也似地	jianyeshide,jysd
箭衣	jianyi,jy
箭鱼	jianyu,jy
箭羽	jianyu,jy
箭在弦上	jianzaixianshang,jzxs
箭张	jianzhang,jz
箭猪	jianzhu,jz
箭竹	jianzhu,jz
箭茁	jianzhuo,jz
箭子	jianzi,jz
箭镞	jianzu,jz
