籍兵	jibing,jb
籍产	jichan,jc
籍除	jichu,jc
籍丛	jicong,jc
籍地	jidi,jd
籍夫	jifu,jf
籍赋	jifu,jf
籍稾	jigao,jg
籍馆	jiguan,jg
籍贯	jiguan,jg
籍贯地	jiguande,jgd
籍骸	jihai,jh
籍籍	ji,j
籍记	ji,j
籍禁	jijin,jj
籍居	jiju,jj
籍口	jikou,jk
籍躝	jilan,jl
籍礼	jili,jl
籍敛	jilian,jl
籍録	jilu,jl
籍略	jilue,jl
籍马	jima,jm
籍茅	jiemao,jm
籍没	jimo,jm
籍名	jiming,jm
籍纳	jina,jn
籍年	jinian,jn
籍牌	jipai,jp
籍配	jipei,jp
籍圃	jipu,jp
籍求	jiqiu,jq
籍取	jiqu,jq
籍戎	jirong,jr
籍设	jishe,js
籍甚	jishen,js
籍湜	jishi,js
籍书	jishu,js
籍税	jishui,js
籍死	jisi,js
籍田	jitian,jt
籍图	jitu,jt
籍伍	jiwu,jw
籍削	jixue,jx
籍誉	jiyu,jy
籍帐	jizhang,jz
籍注	jizhu,jz
籍奏	jizou,jz
