纪伯伦	jibolun,jbl
纪昌	jichang,jc
纪传	jichuan,jc
纪传体	jizhuanti,jzt
纪纲	jigang,jg
纪纲地	jigangdi,jgd
纪纲仆	jigangpu,jgp
纪纲人论	jigangrenlun,jgrl
纪纲院	jigangyuan,jgy
纪纲掾	jigangyuan,jgy
纪功	jigong,jg
纪功碑	jigongbei,jgb
纪过	jiguo,jg
纪号	jihao,jh
纪极	ji,j
纪检	jijian,jj
纪经	jijing,jj
纪理	jili,jl
纪历	jili,jl
纪录	jilu,jl
纪录创造者	jiluchuangzaozhe,jlczz
纪录片	jilupian,jlp
纪录影片	jiluyingpian,jlyp
纪律	jilu,jl
纪律检查委员会	jilujianchaweiyuanhui,jljcwyh
纪律性	jiluxing,jlx
纪略	jilue,jl
纪年	jinian,jn
纪念	jinian,jn
纪念碑	jinianbei,jnb
纪念币	jinianbi,jnb
纪念册	jiniance,jnc
纪念地	jiniande,jnd
纪念封	jinianfeng,jnf
纪念馆	jinianguan,jng
纪念号	jinianhao,jnh
纪念奖	jinianjiang,jnj
纪念卡	jinianka,jnk
纪念品	jinianpin,jnp
纪念日	jinianri,jnr
纪念塔	jinianta,jnt
纪念堂	jiniantang,jnt
纪念物	jinianwu,jnw
纪念邮票	jinianyoupiao,jnyp
纪念章	jinianzhang,jnz
纪群交	jiqunjiao,jqj
纪群之交	jiqunzhijiao,jqzj
纪善	jishan,js
纪识	jishi,js
纪实	jishi,js
纪事	jishi,js
纪事本末	jishibenmo,jsbm
纪事体	jishiti,jst
纪述	jishu,js
纪颂	jisong,js
纪统	jitong,jt
纪委	jiwei,jw
纪系	jixi,jx
纪限	jixian,jx
纪限仪	jixianyi,jxy
纪星	jixing,jx
纪行	jixing,jx
纪序	jixu,jx
纪叙	jixu,jx
纪甗	jiyan,jy
纪要	jiyao,jy
纪庸	jiyong,jy
纪游	jiyou,jy
纪元	jiyuan,jy
纪元前	jiyuanqian,jyq
纪昀	jiyun,jy
纪载	jizai,jz
