纱布	shabu,sb
纱布口罩	shabukouzhao,sbkz
纱厂	shachang,sc
纱厨	shachu,sc
纱橱	shachu,sc
纱橱地	shachude,scd
纱幮	shachu,sc
纱窗	shachuang,sc
纱窗恨	shachuanghen,sch
纱灯	shadeng,sd
纱锭	shading,sd
纱冠	shaguan,sg
纱縠	shahu,sh
纱幌	shahuang,sh
纱巾	shajin,sj
纱绢	shajuan,sj
纱丽	shali,sl
纱笼	shalong,sl
纱笼中人	shalongzhongren,slzr
纱罗	shaluo,sl
纱幔	shaman,sm
纱帽	shamao,sm
纱帽生	shamaosheng,sms
纱帽圆领	shamaoyuanling,smyl
纱门	shamen,sm
纱囊	shanang,sn
纱纱	sha,s
纱似地	shashide,ssd
纱屉子	shatizi,stz
纱帷	shawei,sw
纱线	shaxian,sx
纱箱	shaxiang,sx
纱羊	shayang,sy
纱元	shayuan,sy
纱绽	shazhan,sz
纱帐	shazhang,sz
纱罩	shazhao,sz
纱支	shazhi,sz
纱子	shazi,sz
