绕脖子	raobozi,rbz
绕场	raochang,rc
绕朝鞭	raochaobian,rcb
绕朝策	raochaoce,rcc
绕搭	raoda,rd
绕道	raodao,rd
绕地	raodi,rd
绕殿雷	raodianlei,rdl
绕过	raoguo,rg
绕结	raojie,rj
绕口	raokou,rk
绕口令	raokouling,rkl
绕来绕去	raolaiqu,rlq
绕梁	raoliang,rl
绕梁三日	raoliangsanri,rlsr
绕梁之音	raoliangzhiyin,rlzy
绕缭	raoliao,rl
绕溜	raoliu,rl
绕流	raoliu,rl
绕路	raolu,rl
绕圈子	raoquanzi,rqz
绕绕	rao,r
绕舌地	raoshede,rsd
绕射	raoshe,rs
绕手	raoshou,rs
绕腾	raoteng,rt
绕弯	raowan,rw
绕弯儿	raowaner,rwe
绕弯子	raowanzi,rwz
绕弯子儿	raowanzier,rwze
绕湾子	raowanzi,rwz
绕罔	raowang,rw
绕膝	raoxi,rx
绕膝承欢	raoxichenghuan,rxch
绕袭	raoxi,rx
绕行	raoxing,rx
绕一圈	raoyiquan,ryq
绕远儿	raoyuaner,rye
绕越	raoyue,ry
绕指	raozhi,rz
绕指柔	raozhirou,rzr
绕组	raozu,rz
绕嘴	raozui,rz
