翼膀	yibang,yb
翼蔽	yibi,yb
翼侧	yice,yc
翼成	yicheng,yc
翼城	yicheng,yc
翼城县	yichengxian,ycx
翼从	yicong,yc
翼存	yicun,yc
翼戴	yidai,yd
翼尔	yier,ye
翼冯	yifeng,yf
翼奉	yifeng,yf
翼扶	yifu,yf
翼辅	yifu,yf
翼鬲	yige,yg
翼翮	yihe,yh
翼虎	yihu,yh
翼护	yihu,yh
翼夹	yijia,yj
翼奬	yijiang,yj
翼教	yijiao,yj
翼考	yikao,yk
翼坤	yikun,yk
翼亮	yiliang,yl
翼列	yilie,yl
翼龙	yilong,yl
翼卵	yiluan,yl
翼膜	yimo,ym
翼然	yiran,yr
翼日	yiri,yr
翼如	yiru,yr
翼善	yishan,ys
翼善冠	yishanguan,ysg
翼室	yishi,ys
翼手龙	yishoulong,ysl
翼手目	yishoumu,ysm
翼宿	yisu,ys
翼瓦	yiwa,yw
翼卫	yiwei,yw
翼宣	yixuan,yx
翼翼	yi,y
翼翼飞鸾	yifeiluan,yfl
翼翼小心	yixiaoxin,yxx
翼运	yiyun,yy
翼赞	yizan,yz
翼展	yizhan,yz
翼张	yizhang,yz
翼轸	yizhen,yz
翼助	yizhu,yz
翼子	yizi,yz
翼子板	yiziban,yzb
翼佐	yizuo,yz
