耀斑	yaoban,yb
耀兵	yaobing,yb
耀采	yaocai,yc
耀灿	yaocan,yc
耀蝉	yaochan,yc
耀德	yaode,yd
耀光	yaoguang,yg
耀晖	yaohui,yh
耀锦	yaojin,yj
耀焜	yaokun,yk
耀亮	yaoliang,yl
耀灵	yaoling,yl
耀芒	yaomang,ym
耀名	yaoming,ym
耀明	yaoming,ym
耀目	yaomu,ym
耀目地	yaomude,ymd
耀目晶光	yaomujingguang,ymjg
耀魄	yaopo,yp
耀魄宝	yaopobao,ypb
耀焞	yaotun,yt
耀威	yaowei,yw
耀武	yaowu,yw
耀武扬威	yaowuyangwei,ywyw
耀西	yaoxi,yx
耀星	yaoxing,yx
耀炫	yaoxuan,yx
耀眼	yaoyan,yy
耀眼地	yaoyande,yyd
耀眼争光	yaoyanzhengguang,yyzg
耀艳	yaoyan,yy
耀耀	yao,y
耀夜	yaoye,yy
耀晔	yaoye,yy
耀颖	yaoying,yy
耀州	yaozhou,yz
耀州区	yaozhouqu,yzq
耀祖荣宗	yaozurongzong,yzrz
