聊备	liaobei,lb
聊备一格	liaobeiyige,lbyg
聊表	liaobiao,lb
聊表寸心	liaobiaocunxin,lbcx
聊城	liaocheng,lc
聊城地区	liaochengdiqu,lcdq
聊城箭	liaochengjian,lcj
聊城市	liaochengshi,lcs
聊尔	liaoer,le
聊尔尔	liaoer,le
聊复尔	liaofuer,lfe
聊复尔尔	liaofuer,lfe
聊复尔耳	liaofuer,lfe
聊啾	liaojiu,lj
聊赖	liaolai,ll
聊浪	liaolang,ll
聊亮	liaoliang,ll
聊虑	liaolu,ll
聊落	liaoluo,ll
聊且	liaoqie,lq
聊晒犊裩	liaoshaidukun,lsdk
聊生	liaosheng,ls
聊胜一筹	liaoshengyichou,lsyc
聊胜于无	liaoshengyuwu,lsyw
聊天	liaotian,lt
聊天儿	liaotianer,lte
聊天室	liaotianshi,lts
聊萧	liaoxiao,lx
聊叙	liaoxu,lx
聊以	liaoyi,ly
聊以解嘲	liaoyijiechao,lyjc
聊以解闷	liaoyijiemen,lyjm
聊以塞责	liaoyiseze,lysz
聊以自慰	liaoyiziwei,lyzw
聊以自娱	liaoyiziyu,lyzy
聊以卒岁	liaoyizusui,lyzs
聊斋志异	liaozhaizhiyi,lzzy
