腊八	laba,lb
腊八醋	labacu,lbc
腊八豆	labadou,lbd
腊八会	labahui,lbh
腊八节	labajie,lbj
腊八米	labami,lbm
腊八面	labamian,lbm
腊八蒜	labasuan,lbs
腊八粥	labazhou,lbz
腊茶	lacha,lc
腊肠	lachang,lc
腊赐	laci,lc
腊毒	xidu,xd
腊肥	lafei,lf
腊风	lafeng,lf
腊缚	lafu,lf
腊鼓	lagu,lg
腊候	lahou,lh
腊花	lahua,lh
腊会	lahui,lh
腊鸡	laji,lj
腊鸡头	lajitou,ljt
腊剂	laji,lj
腊祭	laji,lj
腊尽春回	lajinchunhui,ljch
腊酒	lajiu,lj
腊克	lake,lk
腊梨	lali,ll
腊冽	lalie,ll
腊梅	lamei,lm
腊面	lamian,lm
腊醅	lapei,lp
腊破	lapo,lp
腊人	laren,lr
腊日	lari,lr
腊肉	larou,lr
腊田	latian,lt
腊尾	lawei,lw
腊味	lawei,lw
腊飨	laxiang,lx
腊序	laxu,lx
腊雪	laxue,lx
腊药	layao,ly
腊蚁	layi,ly
腊月	layue,ly
腊酝	layun,ly
腊糟	lazao,lz
腊酎	lazhou,lz
