腰把子	yaobazi,ybz
腰板	yaoban,yb
腰板儿	yaobaner,ybe
腰包	yaobao,yb
腰包户口	yaobaohukou,ybhk
腰背	yaobei,yb
腰别	yaobie,yb
腰布	yaobu,yb
腰部	yaobu,yb
腰彩	yaocai,yc
腰缠	yaochan,yc
腰缠万贯	yaochanwanguan,ycwg
腰带	yaodai,yd
腰袋	yaodai,yd
腰刀	yaodao,yd
腰笛	yaodi,yd
腰篴	yaodi,yd
腰绖	yaodie,yd
腰顿	yaodun,yd
腰房	yaofang,yf
腰肥	yaofei,yf
腰封	yaofeng,yf
腰袱	yaofu,yf
腰腹	yaofu,yf
腰杆	yaogan,yg
腰杆子	yaoganzi,ygz
腰干	yaogan,yg
腰骨	yaogu,yg
腰鼓	yaogu,yg
腰鼓舞	yaoguwu,ygw
腰鼓兄弟	yaoguxiongdi,ygxd
腰龟	yaogui,yg
腰锅	yaoguo,yg
腰果	yaoguo,yg
腰果鸡丁	yaoguojiding,ygjd
腰花	yaohua,yh
腰欢喜	yaohuanxi,yhx
腰黄	yaohuang,yh
腰机	yaoji,yj
腰肌劳损	yaojilaosun,yjls
腰际	yaoji,yj
腰间	yaojian,yj
腰脚	yaojiao,yj
腰衱	yaojie,yj
腰巾	yaojin,yj
腰金	yaojin,yj
腰金拖紫	yaojintuozi,yjtz
腰金衣紫	yaojinyizi,yjyz
腰胯	yaokua,yk
腰栏	yaolan,yl
腰缆	yaolan,yl
腰肋	yaolei,yl
腰里货	yaolihuo,ylh
腰里硬	yaoliying,yly
腰帘	yaolian,yl
腰鎌	yaolian,yl
腰梁	yaoliang,yl
腰领	yaoling,yl
腰膂	yaolu,yl
腰锣	yaoluo,yl
腰门	yaomen,ym
腰袅	yaoniao,yn
腰褭	yaoniao,yn
腰牌	yaopai,yp
腰襻	yaopan,yp
腰佩	yaopei,yp
腰棚	yaopeng,yp
腰品	yaopin,yp
腰髂	yaoqia,yq
腰墙	yaoqiang,yq
腰肉	yaorou,yr
腰襦	yaoru,yr
腰扇	yaoshan,ys
腰上黄	yaoshanghuang,ysh
腰身	yaoshen,ys
腰肾	yaoshen,ys
腰酸	yaosuan,ys
腰酸背痛	yaosuanbeitong,ysbt
腰厅	yaoting,yt
腰腿	yaotui,yt
腰腿功	yaotuigong,ytg
腰橐	yaotuo,yt
腰围	yaowei,yw
腰围巾	yaoweijin,ywj
腰窝	yaowo,yw
腰眼	yaoyan,yy
腰俞	yaoyu,yy
腰舆	yaoyu,yy
腰铡	yaozha,yz
腰斩	yaozhan,yz
腰站	yaozhan,yz
腰章	yaozhang,yz
腰折	yaoshe,ys
腰支	yaozhi,yz
腰肢	yaozhi,yz
腰舟	yaozhou,yz
腰椎	yaozhui,yz
腰椎间盘	yaozhuijianpan,yzjp
腰椎间盘突出	yaozhuijianpantuchu,yzjptc
腰椎间盘突出症	yaozhuijianpantuchuzheng,yzjptcz
腰子	yaozi,yz
