臭败	xiubai,xb
臭不可当	choubukedang,cbkd
臭不可闻	choubukewen,cbkw
臭虫	chouchong,cc
臭臭锅	chouguo,cg
臭椿	chouchun,cc
臭弹	choudan,cd
臭豆腐	choudoufu,cdf
臭腐神奇	choufushenqi,cfsq
臭盖	chougai,cg
臭烘烘	chouhong,ch
臭货	chouhuo,ch
臭迹	chouji,cj
臭架子	choujiazi,cjz
臭老九	choulaojiu,clj
臭脸	choulian,cl
臭骂	chouma,cm
臭么	choume,cm
臭美	choumei,cm
臭名	chouming,cm
臭名远扬	choumingyuanyang,cmyy
臭名昭彰	choumingzhaozhang,cmzz
臭名昭着	choumingzhaozhe,cmzz
臭名昭著	choumingzhaozhu,cmzz
臭皮袋	choupidai,cpd
臭皮囊	choupinang,cpn
臭屁	choupi,cp
臭屁虫	choupichong,cpc
臭棋	chouqi,cq
臭气	chouqi,cq
臭气冲天	chouqichongtian,cqct
臭气熏天	chouqixuntian,cqxt
臭钱	chouqian,cq
臭肉来蝇	chouroulaiying,crly
臭死	chousi,cs
臭味	chouwei,cw
臭味儿	chouweier,cwe
臭味相投	xiuweixiangtou,xwxt
臭熏熏	chouxun,cx
臭氧	chouyang,cy
臭氧层	chouyangceng,cyc
臭鼬	chouyou,cy
臭子儿	chouzier,cze
臭揍一顿	chouzouyidun,czyd
