茅庵	maoan,ma
茅卜	maobu,mb
茅草	maocao,mc
茅厕	maosi,ms
茅柴	maochai,mc
茅柴酒	maochaijiu,mcj
茅厂	maochang,mc
茅鸱	maochi,mc
茅椽	maochuan,mc
茅茨	maoci,mc
茅茨不剪	maocibujian,mcbj
茅茨不翦	maocibujian,mcbj
茅茨土阶	maocitujie,mctj
茅店	maodian,md
茅殿	maodian,md
茅栋	maodong,md
茅盾	maodun,md
茅盾文学奖	maodunwenxuejiang,mdwxj
茅房	maofang,mf
茅扉	maofei,mf
茅赋	maofu,mf
茅菅	maojian,mj
茅箭	maojian,mj
茅箭区	maojianqu,mjq
茅椒	maojiao,mj
茅焦	maojiao,mj
茅旌	maojing,mj
茅蕝	maojue,mj
茅君	maojun,mj
茅坑	maokeng,mk
茅利塔尼亚	maolitaniya,mltny
茅寮	maoliao,ml
茅岭	maoling,ml
茅龙	maolong,ml
茅庐	maolu,ml
茅庐三顾	maolusangu,mlsg
茅门	maomen,mm
茅靡	maomi,mm
茅棚	maopeng,mp
茅蒲	maopu,mp
茅茹	maoru,mr
茅塞	maose,ms
茅塞顿开	maosedunkai,msdk
茅山	maoshan,ms
茅苫	maoshan,ms
茅舍	maoshe,ms
茅社	maoshe,ms
茅室蓬户	maoshipenghu,msph
茅司	maosi,ms
茅搜	maosou,ms
茅缩	maosuo,ms
茅台	maotai,mt
茅台酒	maotaijiu,mtj
茅堂	maotang,mt
茅绹	maotao,mt
茅土	maotu,mt
茅屋	maowu,mw
茅屋采椽	maowucaichuan,mwcc
茅屋顶	maowuding,mwd
茅轩	maoxuan,mx
茅檐	maoyan,my
茅以升	maoyisheng,mys
茅盈	maoying,my
茅斋	maozhai,mz
茅竹	maozhu,mz
茅菹	maozu,mz
