获报	huobao,hb
获暴利者	huobaolizhe,hblz
获厕	huoce,hc
获车	huoche,hc
获成	huocheng,hc
获齿	huochi,hc
获丑	huochou,hc
获得	huode,hd
获得性	huodexing,hdx
获得性免疫	huodexingmianyi,hdxmy
获得者	huodezhe,hdz
获厎	huodi,hd
获铎	huoduo,hd
获谷	huogu,hg
获济	huoji,hj
获嘉	huojia,hj
获嘉县	huojiaxian,hjx
获奖	huojiang,hj
获奖者	huojiangzhe,hjz
获解	huojie,hj
获旌	huojing,hj
获咎	huojiu,hj
获救	huojiu,hj
获隽	huojun,hj
获隽公车	huojungongche,hjgc
获利	huoli,hl
获利地	huolide,hld
获利回吐	huolihuitu,hlht
获戾	huoli,hl
获敛	huolian,hl
获麟	huolin,hl
获麟堆	huolindui,hld
获麟台	huolintai,hlt
获陇望蜀	huolongwangshu,hlws
获卤	huolu,hl
获鹿	huolu,hl
获鹿镇	huoluzhen,hlz
获吕布	huolubu,hlb
获落	huoluo,hl
获没	huomei,hm
获免	huomian,hm
获民	huomin,hm
获命	huoming,hm
获偶	huoou,ho
获匹	huopi,hp
获旗	huoqi,hq
获渠	huoqu,hq
获取	huoqu,hq
获全	huoquan,hq
获申	huoshen,hs
获生	huosheng,hs
获胜	huosheng,hs
获胜者	huoshengzhe,hsz
获释	huoshi,hs
获售	huoshou,hs
获索	huosuo,hs
获兔烹狗	huotupenggou,htpg
获悉	huoxi,hx
获薪	huoxin,hx
获刑	huoxing,hx
获选	huoxuan,hx
获夷	huoyi,hy
获乂	huoyi,hy
获刈	huoyi,hy
获益	huoyi,hy
获益者	huoyizhe,hyz
获印	huoyin,hy
获尤	huoyou,hy
获宥	huoyou,hy
获赠	huozeng,hz
获者	huozhe,hz
获知	huozhi,hz
获志	huozhi,hz
获致	huozhi,hz
获准	huozhun,hz
获准地	huozhunde,hzd
获罪	huozui,hz
获辠	huozui,hz
