薄暗	boan,ba
薄板	baoban,bb
薄薄	bao,b
薄饼	baobing,bb
薄层	baoceng,bc
薄产	bochan,bc
薄绸	baochou,bc
薄酬	bochou,bc
薄唇轻言	baochunqingyan,bcqy
薄脆	baocui,bc
薄待	bodai,bd
薄地	bodi,bd
薄海	bohai,bh
薄寒中人	bohanzhongren,bhzr
薄荷	bohe,bh
薄荷脑	bohenao,bhn
薄荷糖	bohetang,bht
薄荷酮	bohetong,bht
薄荷油	boheyou,bhy
薄厚	bohou,bh
薄技	boji,bj
薄技在身	bojizaishen,bjzs
薄伽丘	bojiaqiu,bjq
薄酒	bojiu,bj
薄烤饼	bokaobing,bkb
薄礼	boli,bl
薄利	boli,bl
薄利多销	boliduoxiao,bldx
薄面	bomian,bm
薄明	boming,bm
薄命	boming,bm
薄命佳人	bomingjiaren,bmjr
薄膜	baomo,bm
薄膜地	baomode,bmd
薄暮	bomu,bm
薄暮冥冥	bomuming,bmm
薄皮地	baopide,bpd
薄片	baopian,bp
薄片地	baopiande,bpd
薄情	boqing,bq
薄情地	boqingde,bqd
薄情无义	boqingwuyi,bqwy
薄瑞光	boruiguang,brg
薄弱	boruo,br
薄弱环节	boruohuanjie,brhj
薄纱	baosha,bs
薄砂地	baoshade,bsd
薄胎瓷器	botaiciqi,btcq
薄田	botian,bt
薄透镜	baotoujing,btj
薄物细故	bowuxigu,bwxg
薄雾	bowu,bw
薄熙来	boxilai,bxl
薄晓	boxiao,bx
薄幸	boxing,bx
薄养厚葬	boyanghouzang,byhz
薄一波	boyi,by
薄油层	boyouceng,byc
薄葬	bozang,bz
薄纸	baozhi,bz
