蚩騃	chiai,ca
蚩薄	chibao,cb
蚩鄙	chibi,cb
蚩蚩	chi,c
蚩蚩蠢蠢	chichun,cc
蚩蚩氓	chimeng,cm
蚩蚩嚚嚚	chiyin,cy
蚩蚩者	chizhe,cz
蚩恶	chie,ce
蚩蚘	chihui,ch
蚩陋	chilou,cl
蚩氓	chimeng,cm
蚩狞	chining,cn
蚩儜	chining,cn
蚩弄	chinong,cn
蚩旗	chiqi,cq
蚩然	chiran,cr
蚩人	chiren,cr
蚩辱	chiru,cr
蚩妄	chiwang,cw
蚩尾	chiwei,cw
蚩吻	chiwen,cw
蚩笑	chixiao,cx
蚩眩	chixuan,cx
蚩妍	chiyan,cy
蚩庸	chiyong,cy
蚩尤	chiyou,cy
蚩尤城	chiyoucheng,cyc
蚩尤祠	chiyouci,cyc
蚩尤旗	chiyouqi,cyq
蚩尤气	chiyouqi,cyq
蚩尤神	chiyoushen,cys
蚩尤戏	chiyouxi,cyx
蚩尤血	chiyouxue,cyx
蚩尤冢	chiyouzhong,cyz
蚩谪	chizhe,cz
蚩拙	chizhuo,cz
