蜀本	shuben,sb
蜀布	shubu,sb
蜀才	shucai,sc
蜀彩	shucai,sc
蜀茶	shucha,sc
蜀川	shuchuan,sc
蜀党	shudang,sd
蜀刀	shudao,sd
蜀道	shudao,sd
蜀道难	shudaonan,sdn
蜀道易	shudaoyi,sdy
蜀帝	shudi,sd
蜀帝花	shudihua,sdh
蜀殿琼人	shudianqiongren,sdqr
蜀都	shudou,sd
蜀都海棠	shudouhaitang,sdht
蜀赋	shufu,sf
蜀阁	shuge,sg
蜀国	shuguo,sg
蜀国弦	shuguoxian,sgx
蜀汉	shuhan,sh
蜀红	shuhong,sh
蜀侯	shuhou,sh
蜀魂	shuhun,sh
蜀鸡	shuji,sj
蜀笺	shujian,sj
蜀牋	shujian,sj
蜀江	shujiang,sj
蜀姜	shujiang,sj
蜀椒	shujiao,sj
蜀芥	shujie,sj
蜀锦	shujin,sj
蜀锦吴绫	shujinwuling,sjwl
蜀精	shujing,sj
蜀菊	shuju,sj
蜀郡	shujun,sj
蜀客	shuke,sk
蜀葵	shukui,sk
蜀鹿	shulu,sl
蜀禄	shulu,sl
蜀罗	shuluo,sl
蜀洛	shuluo,sl
蜀麻	shuma,sm
蜀马	shuma,sm
蜀门	shumen,sm
蜀鸟	shuniao,sn
蜀魄	shupo,sp
蜀漆	shuqi,sq
蜀琴	shuqin,sq
蜀犬	shuquan,sq
蜀犬吠日	shuquanfeiri,sqfr
蜀箑	shusha,ss
蜀山	shushan,ss
蜀山区	shushanqu,ssq
蜀扇	shushan,ss
蜀石	shushi,ss
蜀士	shushi,ss
蜀秫	shu,s
蜀黍	shu,s
蜀叟	shusou,ss
蜀素	shusu,ss
蜀艇	shuting,st
蜀桐	shutong,st
蜀土	shutu,st
蜀王	shuwang,sw
蜀纹	shuwen,sw
蜀五	shuwu,sw
蜀险	shuxian,sx
蜀相	shuxiang,sx
蜀相军营	shuxiangjunying,sxjy
蜀襭袍	shuxiepao,sxp
蜀绣	shuxiu,sx
蜀牙	shuya,sy
蜀严	shuyan,sy
蜀盐	shuyan,sy
蜀雓	shuyu,sy
蜀栈	shuzhan,sz
蜀轸	shuzhen,sz
蜀纸	shuzhi,sz
蜀中	shuzhong,sz
蜀中无大将	shuzhongwudajiang,szwdj
蜀庄	shuzhuang,sz
蜀子	shuzi,sz
