蜗虫	wochong,wc
蜗窗	wochuang,wc
蜗斗	wodou,wd
蜗房	wofang,wf
蜗杆	wogan,wg
蜗杆副	woganfu,wgf
蜗醢	wohai,wh
蜗痕	wohen,wh
蜗睆	wohuan,wh
蜗迹	woji,wj
蜗角	wojiao,wj
蜗角斗争	wojiaodouzheng,wjdz
蜗角蚊睫	wojiaowenjie,wjwj
蜗角虚名	wojiaoxuming,wjxm
蜗角蝇头	wojiaoyingtou,wjyt
蜗角之争	wojiaozhizheng,wjzz
蜗居	woju,wj
蜗疽	woju,wj
蜗壳	woke,wk
蜗壳居	wokeju,wkj
蜗量	woliang,wl
蜗庐	wolu,wl
蜗螺	woluo,wl
蜗名微利	womingweili,wmwl
蜗名蝇利	womingyingli,wmyl
蜗牛	woniu,wn
蜗牛国	woniuguo,wng
蜗牛庐	woniulu,wnl
蜗牛舍	woniushe,wns
蜗跧	woquan,wq
蜗舍	woshe,ws
蜗舍荆扉	woshejingfei,wsjf
蜗室	woshi,ws
蜗书	woshu,ws
蜗髫	wotiao,wt
蜗涎	woxian,wx
蜗行	woxing,wx
蜗行牛步	woxingniubu,wxnb
蜗旋	woxuan,wx
蜗蜒	woyan,wy
蜗蚓	woyin,wy
蜗窄	wozhai,wz
蜗战	wozhan,wz
蜗争	wozheng,wz
蜗篆	wozhuan,wz
