蜡白	labai,lb
蜡板	laban,lb
蜡版	laban,lb
蜡本	laben,lb
蜡鼻	labi,lb
蜡笔	labi,lb
蜡笔画	labihua,lbh
蜡笔小新	labixiaoxin,lbxx
蜡鞭	labian,lb
蜡表	labiao,lb
蜡宾	labin,lb
蜡帛书	laboshu,lbs
蜡彩	lacai,lc
蜡查	lazha,lz
蜡茶	lacha,lc
蜡钗子	lachaizi,lcz
蜡虫	lachong,lc
蜡祠	laci,lc
蜡弹	ladan,ld
蜡灯	ladeng,ld
蜡蒂	ladi,ld
蜡儿	laer,le
蜡蜂	lafeng,lf
蜡凤	lafeng,lf
蜡宫	lagong,lg
蜡光	laguang,lg
蜡光光	laguang,lg
蜡光纸	laguangzhi,lgz
蜡红	lahong,lh
蜡花	lahua,lh
蜡黄	lahuang,lh
蜡火	lahuo,lh
蜡屐	laji,lj
蜡祭	zhaji,zj
蜡笺	lajian,lj
蜡剪	lajian,lj
蜡节	lajie,lj
蜡炬	laju,lj
蜡绢	lajuan,lj
蜡绢画	lajuanhua,ljh
蜡刻	lake,lk
蜡腊	la,l
蜡泪	lalei,ll
蜡疗	laliao,ll
蜡梅	lamei,lm
蜡煤	lamei,lm
蜡美人	lameiren,lmr
蜡蜜	lami,lm
蜡面	lamian,lm
蜡面茶	lamiancha,lmc
蜡捻	lanian,ln
蜡弩牙	lanuya,lny
蜡盘	lapan,lp
蜡珀	lapo,lp
蜡酺	lapu,lp
蜡千儿	laqianer,lqe
蜡扦	laqian,lq
蜡签儿	laqianer,lqe
蜡枪头	laqiangtou,lqt
蜡染	laran,lr
蜡人	laren,lr
蜡日	lari,lr
蜡社	lashe,ls
蜡沈	lashen,ls
蜡石	lashi,ls
蜡氏	lashi,ls
蜡书	lashu,ls
蜡树	lashu,ls
蜡索	lasuo,ls
蜡塌	lata,lt
蜡蹋	lata,lt
蜡台	latai,lt
蜡坛	latan,lt
蜡糖人	latangren,ltr
蜡坨	latuo,lt
蜡坨儿	latuoer,lte
蜡坨子	latuozi,ltz
蜡丸	lawan,lw
蜡丸帛书	lawanboshu,lwbs
蜡丸绢书	lawanjuanshu,lwjs
蜡丸书	lawanshu,lws
蜡丸体	lawanti,lwt
蜡檄	laxi,lx
蜡香	laxiang,lx
蜡享	laxiang,lx
蜡飨	laxiang,lx
蜡像	laxiang,lx
蜡像馆	laxiangguan,lxg
蜡兄	laxiong,lx
蜡烟	layan,ly
蜡焰	layan,ly
蜡样芽孢杆菌	layangyabaoganjun,lyybgj
蜡液	laye,ly
蜡蚁春	layichun,lyc
蜡圆	layuan,ly
蜡月	layue,ly
蜡渣	lazha,lz
蜡楂	lazha,lz
蜡诏	lazhao,lz
蜡纸	lazhi,lz
蜡质	lazhi,lz
蜡种	lazhong,lz
蜡珠	lazhu,lz
蜡烛	lazhu,lz
蜡烛不点不亮	lazhubudianliang,lzbdl
蜡烛花	lazhuhua,lzh
蜡烛两头烧	lazhuliangtoushao,lzlts
蜡烛珠	lazhu,lz
蜡觜	lazi,lz
蜡子	lazi,lz
蜡滓	lazi,lz
蜡嘴	lazui,lz
