衍奥	yanao,ya
衍隩	yanyu,yy
衍变	yanbian,yb
衍波笺	yanbojian,ybj
衍蕃	yanfan,yf
衍策	yance,yc
衍处	yanchu,yc
衍辞	yanci,yc
衍登	yandeng,yd
衍封	yanfeng,yf
衍功	yangong,yg
衍化	yanhua,yh
衍辑	yanji,yj
衍祭	yanji,yj
衍句	yanju,yj
衍凯	yankai,yk
衍涝	yanlao,yl
衍曼	yanman,ym
衍蔓	yanman,ym
衍箧	yanqie,yq
衍庆	yanqing,yq
衍射	yanshe,ys
衍射格子	yanshegezi,ysgz
衍射角	yanshejiao,ysj
衍伸	yanshen,ys
衍生	yansheng,ys
衍生产品	yanshengchanpin,yscp
衍生工具	yanshenggongju,ysgj
衍生剧	yanshengju,ysj
衍生物	yanshengwu,ysw
衍声	yansheng,ys
衍声复词	yanshengfuci,ysfc
衍圣公	yanshenggong,ysg
衍圣公府	yanshenggongfu,ysgf
衍食	yanshi,ys
衍数	yanshu,ys
衍说	yanshuo,ys
衍嗣	yansi,ys
衍忒	yantui,yt
衍貣	yante,yt
衍文	yanwen,yw
衍沃	yanwo,yw
衍误	yanwu,yw
衍习	yanxi,yx
衍羡	yanxian,yx
衍形	yanxing,yx
衍衍	yan,y
衍漾	yanyang,yy
衍夷	yanyi,yy
衍迤	yanyi,yy
衍义	yanyi,yy
衍绎	yanyi,yy
衍逸	yanyi,yy
衍溢	yanyi,yy
衍蚓	yanyin,yy
衍盈	yanying,yy
衍裕	yanyu,yy
衍注	yanzhu,yz
衍字	yanzi,yz
