衔哀	xianai,xa
衔报	xianbao,xb
衔杯	xianbei,xb
衔桮	xianbei,xb
衔悲	xianbei,xb
衔悲茹恨	xianbeiruhen,xbrh
衔碑	xianbei,xb
衔璧	xianbi,xb
衔冰吐雹	xianbingtubao,xbtb
衔哺	xianbu,xb
衔策	xiance,xc
衔蝉	xianchan,xc
衔蝉奴	xianchannu,xcn
衔称	xiancheng,xc
衔持	xianchi,xc
衔敕	xianchi,xc
衔棰	xianchui,xc
衔辞	xianci,xc
衔戴	xiandai,xd
衔胆	xiandan,xd
衔胆栖冰	xiandanqibing,xdqb
衔刀	xiandao,xd
衔灯	xiandeng,xd
衔轭	xiane,xe
衔恩	xianen,xe
衔发	xianfa,xf
衔忿	xianfen,xf
衔愤	xianfen,xf
衔锋	xianfeng,xf
衔凤	xianfeng,xf
衔奉	xianfeng,xf
衔负	xianfu,xf
衔竿	xiangan,xg
衔感	xiangan,xg
衔告	xiangao,xg
衔荷	xianhe,xh
衔恨	xianhen,xh
衔华佩实	xianhuapeishi,xhps
衔欢	xianhuan,xh
衔环	xianhuan,xh
衔环结草	xianhuanjiecao,xhjc
衔环雀	xianhuanque,xhq
衔悔	xianhui,xh
衔羁	xianji,xj
衔级	xianji,xj
衔戢	xianji,xj
衔葭	xianjia,xj
衔肩	xianjian,xj
衔艰	xianjian,xj
衔检	xianjian,xj
衔箭	xianjian,xj
衔接	xianjie,xj
衔揭	xianjie,xj
衔结	xianjie,xj
衔酒	xianjiu,xj
衔疚	xianjiu,xj
衔寠	xianlou,xl
衔窭数	xianjushu,xjs
衔聚	xianju,xj
衔橛	xianjue,xj
衔橛之变	xianjuezhibian,xjzb
衔橛之虞	xianjuezhiyu,xjzy
衔橜	xianjue,xj
衔橜之变	xianjuezhibian,xjzb
衔橜之虞	xianjuezhiyu,xjzy
衔蹶	xianjue,xj
衔口垫背	xiankoudianbei,xkdb
衔酷	xianku,xk
衔块	xiankuai,xk
衔乐	xianle,xl
衔勒	xianle,xl
衔泪	xianlei,xl
衔联	xianlian,xl
衔鳞	xianlin,xl
衔令	xianling,xl
衔瘤	xianliu,xl
衔芦	xianlu,xl
衔舻	xianlu,xl
衔吕	xianlu,xl
衔枚	xianmei,xm
衔枚疾走	xianmeijizou,xmjz
衔梦	xianmeng,xm
衔名	xianming,xm
衔命	xianming,xm
衔木	xianmu,xm
衔木鸟	xianmuniao,xmn
衔匿	xianni,xn
衔啮	xiannie,xn
衔怒	xiannu,xn
衔牌	xianpai,xp
衔佩	xianpei,xp
衔辔	xianpei,xp
衔片	xianpian,xp
衔凄	xianqi,xq
衔泣	xianqi,xq
衔箝	xianqian,xq
衔沙填海	xianshatianhai,xsth
衔觞	xianshang,xs
衔哂	xianshen,xs
衔石	xianshi,xs
衔石鸟	xianshiniao,xsn
衔石填海	xianshitianhai,xsth
衔使	xianshi,xs
衔霜	xianshuang,xs
衔思	xiansi,xs
衔诉	xiansu,xs
衔索	xiansuo,xs
衔璅	xianzao,xz
衔啼	xianti,xt
衔体	xianti,xt
衔涕	xianti,xt
衔铁	xiantie,xt
衔痛	xiantong,xt
衔头	xiantou,xt
衔图	xiantu,xt
衔土	xiantu,xt
衔威	xianwei,xw
衔尾	xianwei,xw
衔尾相随	xianweixiangsui,xwxs
衔位	xianwei,xw
衔隙	xianxi,xx
衔弦	xian,x
衔协	xianxie,xx
衔绁	xianxie,xx
衔辛	xianxin,xx
衔薪	xianxin,xx
衔须	xianxu,xx
衔恤	xianxu,xx
衔训	xianxun,xx
衔烟	xianyan,xy
衔曜	xianyao,xy
衔耀	xianyao,xy
衔勇	xianyong,xy
衔羽	xianyu,xy
衔玉	xianyu,xy
衔玉贾石	xianyujiashi,xyjs
衔冤	xianyuan,xy
衔冤负屈	xianyuanfuqu,xyfq
衔寃	xianyuan,xy
衔寃负屈	xianyuanfuqu,xyfq
衔怨	xianyuan,xy
衔卮	xianzhi,xz
衔巵	xianzhi,xz
衔知	xianzhi,xz
衔指	xianzhi,xz
衔志	xianzhi,xz
衔炙	xianzhi,xz
衔踵	xianzhong,xz
衔珠	xianzhu,xz
衔烛	xianzhu,xz
