补白	bubai,bb
补办	buban,bb
补报	bubao,bb
补编	bubian,bb
补差	bucha,bc
补偿	buchang,bc
补偿费	buchangfei,bcf
补充	buchong,bc
补充量	buchongliang,bcl
补充品	buchongpin,bcp
补充医疗	buchongyiliao,bcyl
补刀	budao,bd
补登	budeng,bd
补登机	budengji,bdj
补电	budian,bd
补丁	buding,bd
补钉	buding,bd
补靪	buding,bd
补裰	buduo,bd
补发	bufa,bf
补法	bufa,bf
补给	buji,bj
补给船	bujichuan,bjc
补给舰	bujijian,bjj
补给品	bujipin,bjp
补给线	bujixian,bjx
补给站	bujizhan,bjz
补骨脂	buguzhi,bgz
补过	buguo,bg
补过拾遗	buguoshiyi,bgsy
补过饰非	buguoshifei,bgsf
补花	buhua,bh
补回	buhui,bh
补货	buhuo,bh
补集	buji,bj
补记	buji,bj
补剂	buji,bj
补假	bujia,bj
补交	bujiao,bj
补角	bujiao,bj
补酒	bujiu,bj
补救	bujiu,bj
补苴罅漏	bujuxialou,bjxl
补卡	buka,bk
补考	bukao,bk
补课	buke,bk
补漏	bulou,bl
补炉	bulu,bl
补码	buma,bm
补满	buman,bm
补眠	bumian,bm
补苗	bumiao,bm
补偏救弊	bupianjiubi,bpjb
补票	bupiao,bp
补票处	bupiaochu,bpc
补品	bupin,bp
补强	buqiang,bq
补缺	buque,bq
补缺拾遗	buqueshiyi,bqsy
补阙	buque,bq
补阙灯檠	buquedengqing,bqdq
补阙挂漏	buquegualou,bqgl
补阙拾遗	buqueshiyi,bqsy
补色	buse,bs
补时	bushi,bs
补数	bushu,bs
补税	bushui,bs
补胎	butai,bt
补胎片	butaipian,btp
补台	butai,bt
补体	buti,bt
补天柱地	butianzhudi,btzd
补贴	butie,bt
补西墙	buxiqiang,bxq
补习	buxi,bx
补习班	buxiban,bxb
补习学校	buxixuexiao,bxxx
补写	buxie,bx
补泻	buxie,bx
补休	buxiu,bx
补选	buxuan,bx
补血	buxue,bx
补牙	buya,by
补养	buyang,by
补药	buyao,by
补液	buye,by
补遗	buyi,by
补益	buyi,by
补语	buyu,by
补正	buzheng,bz
补种	buzhong,bz
补助	buzhu,bz
补助地	buzhude,bzd
补助金	buzhujin,bzj
补助组织	buzhuzuzhi,bzzz
补缀	buzhui,bz
补足	buzu,bz
补足额	buzue,bze
补足物	buzuwu,bzw
补足音程	buzuyincheng,bzyc
