被绑	beibang,bb
被保人	beibaoren,bbr
被爆者	beibaozhe,bbz
被剥削者	beiboxuezhe,bbxz
被捕	beibu,bb
被称为	beichengwei,bcw
被宠若惊	beichongruojing,bcrj
被除数	beichushu,bcs
被刺	beici,bc
被打扰地	beidaraode,bdrd
被袋	beidai,bd
被单	beidan,bd
被动	beidong,bd
被动地	beidongde,bdd
被动地接受	beidongdejieshou,bddjs
被动免疫	beidongmianyi,bdmy
被动式	beidongshi,bds
被动吸烟	beidongxiyan,bdxy
被发文身	pifawenshen,pfws
被发缨冠	pifayingguan,pfyg
被发左衽	pifazuoren,pfzr
被访者	beifangzhe,bfz
被服	beifu,bf
被俘	beifu,bf
被覆	beifu,bf
被告	beigao,bg
被告人	beigaoren,bgr
被害	beihai,bh
被害人	beihairen,bhr
被害者	beihaizhe,bhz
被和谐	beihexie,bhx
被褐怀玉	pihehuaiyu,phhy
被褐怀珠	pihehuaizhu,phhz
被甲持兵	pijiachibing,pjcb
被甲据鞍	pijiajuan,pjja
被甲枕戈	pijiazhenge,pjzg
被甲执兵	pijiazhibing,pjzb
被控	beikong,bk
被里	beili,bl
被旅游	beiluyou,bly
被毛	beimao,bm
被冒犯地	beimaofande,bmfd
被面	beimian,bm
被明确地	beimingquede,bmqd
被难	beinan,bn
被评为	beipingwei,bpw
被迫	beipo,bp
被迫地	beipode,bpd
被侵害	beiqinhai,bqh
被人猛地	beirenmengde,brmd
被褥	beiru,br
被山带河	pishandaihe,psdh
被上诉人	beishangsuren,bssr
被视为	beishiwei,bsw
被套	beitao,bt
被头	beitou,bt
被歪曲地	beiwaiqude,bwqd
被窝	beiwo,bw
被窝儿	beiwoer,bwe
被卧	beiwo,bw
被侮辱地	beiwurude,bwrd
被物化	beiwuhua,bwh
被絮	beixu,bx
被选举权	beixuanjuquan,bxjq
被遗弃地	beiyiqide,byqd
被疑者	beiyizhe,byz
被译	beiyi,by
被永久地接受	beiyongjiudejieshou,byjdjs
被优化掉	beiyouhuadiao,byhd
被泽蒙庥	beizemengxiu,bzmx
被罩	beizhao,bz
被执行人	beizhixingren,bzxr
被子	beizi,bz
被子植物	beizizhiwu,bzzw
被子植物门	beizizhiwumen,bzzwm
被自杀	beizisha,bzs
被诅咒地	beizuzhoude,bzzd
