裹包	guobao,gb
裹缠	guochan,gc
裹持	guochi,gc
裹疮	guochuang,gc
裹创	guochuang,gc
裹从	guocong,gc
裹带	guodai,gd
裹肚	guodu,gd
裹饭	guofan,gf
裹费	guofei,gf
裹袱	guofu,gf
裹腹	guofu,gf
裹革	guoge,gg
裹合	guohe,gh
裹糇	guohou,gh
裹糇粮	guohouliang,ghl
裹鸡	guoji,gj
裹夹	guojia,gj
裹见	guojian,gj
裹角	guojiao,gj
裹脚	guojiao,gj
裹脚布	guojiaobu,gjb
裹脚条子	guojiaotiaozi,gjtz
裹金	guojin,gj
裹帘	guolian,gl
裹粮	guoliang,gl
裹粮坐甲	guoliangzuojia,glzj
裹乱	guoluan,gl
裹梅花	guomeihua,gmh
裹抹	guomo,gm
裹伤	guoshang,gs
裹烧	guoshao,gs
裹尸	guoshi,gs
裹尸布	guoshibu,gsb
裹尸马革	guoshimage,gsmg
裹首	guoshou,gs
裹束	guoshu,gs
裹头	guotou,gt
裹头内人	guotouneiren,gtnr
裹头人	guotouren,gtr
裹腿	guotui,gt
裹骽	guotui,gt
裹胁	guoxie,gx
裹挟	guoxie,gx
裹血力战	guoxuelizhan,gxlz
裹腰	guoyao,gy
裹药	guoyao,gy
裹掖	guoye,gy
裹鲊	guozha,gz
裹鲊帖	guozhatie,gzt
裹蒸	guozheng,gz
裹足	guozu,gz
裹足不前	guozubuqian,gzbq
裹足布	guozubu,gzb
