解鞍	jiean,ja
解罢	jieba,jb
解白	jiebai,jb
解百纳	jiebaina,jbn
解绑	jiebang,jb
解榜	jiebang,jb
解牓	jiebang,jb
解包	jiebao,jb
解比	jiebi,jb
解薜	jiebi,jb
解弁	jiebian,jb
解辩	jiebian,jb
解辫	jiebian,jb
解表	jiebiao,jb
解摈	jiebin,jb
解兵	jiebing,jb
解兵释甲	jiebingshijia,jbsj
解柄	jiebing,jb
解拨	jiebo,jb
解剥	jiebao,jb
解驳	jiebo,jb
解补	jiebu,jb
解不下	jiebuxia,jbx
解菜	jiecai,jc
解骖	jiecan,jc
解骖推食	jiecantuishi,jcts
解差	jiechai,jc
解拆	jiechai,jc
解馋	jiechan,jc
解嘲	jiechao,jc
解謿	jiezhao,jz
解呈	jiecheng,jc
解酲	jiecheng,jc
解弛	jiechi,jc
解池	xiechi,xc
解耻	jiechi,jc
解仇	jiechou,jc
解愁	jiechou,jc
解雠	jiechou,jc
解出	jiechu,jc
解除	jiechu,jc
解传	jiechuan,jc
解船	jiechuan,jc
解词	jieci,jc
解祠	jieci,jc
解蹙	jiecu,jc
解窜	jiecuan,jc
解达	jieda,jd
解答	jieda,jd
解大手	jiedashou,jds
解带	jiedai,jd
解怠	jiedai,jd
解殆	jiedai,jd
解当	jiedang,jd
解当铺	jiedangpu,jdp
解祷	jiedao,jd
解倒悬	jiedaoxuan,jdx
解道	jiedao,jd
解典	jiedian,jd
解典库	jiedianku,jdk
解典铺	jiedianpu,jdp
解调	jietiao,jt
解牒	jiedie,jd
解冻	jiedong,jd
解冻水	jiedongshui,jds
解斗	jiedou,jd
解毒	jiedu,jd
解毒剂	jieduji,jdj
解毒药	jieduyao,jdy
解读	jiedu,jd
解堕	jieduo,jd
解惰	jieduo,jd
解额	jiee,je
解厄	jiee,je
解阸	jiee,je
解饿	jiee,je
解珥	jieer,je
解发	jiefa,jf
解发佯狂	jiefayangkuang,jfyk
解乏	jiefa,jf
解法	xiefa,xf
解帆	jiefan,jf
解烦	jiefan,jf
解烦兵	jiefanbing,jfb
解房	jiefang,jf
解舫	jiefang,jf
解放	jiefang,jf
解放巴勒斯坦人民阵线	jiefangbalesitanrenminzhenxian,jfblstrmzx
解放后	jiefanghou,jfh
解放军	jiefangjun,jfj
解放区	jiefangqu,jfq
解放日	jiefangri,jfr
解放日报	jiefangribao,jfrb
解放鞋	jiefangxie,jfx
解放运动	jiefangyundong,jfyd
解放战争	jiefangzhanzheng,jfzz
解费	jiefei,jf
解分	jiefen,jf
解纷	jiefen,jf
解纷排难	jiefenpainan,jfpn
解棼	jiefen,jf
解封	jiefeng,jf
解绂	jiefu,jf
解罘	jiefu,jf
解韨	jiefu,jf
解赴	jiefu,jf
解副	jiefu,jf
解缚	jiefu,jf
解割	jiege,jg
解给	jiegei,jg
解贡	jiegong,jg
解构	jiegou,jg
解垢	jiegou,jg
解遘	jiegou,jg
解诂	jiegu,jg
解骨	jiegu,jg
解固	jiegu,jg
解故	jiegu,jg
解雇	jiegu,jg
解官	jieguan,jg
解冠	jieguan,jg
解馆	jieguan,jg
解龟	jiegui,jg
解果	jieguo,jg
解寒	jiehan,jh
解何	jiehe,jh
解和	jiehe,jh
解褐	jiehe,jh
解恨	jiehen,jh
解红	jiehong,jh
解后	jiehou,jh
解逅	jiehou,jh
解户	jiehu,jh
解化	jiehua,jh
解环	jiehuan,jh
解徽	jiehui,jh
解会	jiehui,jh
解恚	jiehui,jh
解秽	jiehui,jh
解婚	jiehun,jh
解豁	jiehuo,jh
解祸	jiehuo,jh
解惑	jiehuo,jh
解籍	jieji,jj
解济	jieji,jj
解甲	jiejia,jj
解甲倒戈	jiejiadaoge,jjdg
解甲归田	jiejiaguitian,jjgt
解甲投戈	jiejiatouge,jjtg
解甲休兵	jiejiaxiubing,jjxb
解甲休士	jiejiaxiushi,jjxs
解驾	jiejia,jj
解剑	jiejian,jj
解剑拜仇	jiejianbaichou,jjbc
解荐	jiejian,jj
解匠	jiejiang,jj
解交	jiejiao,jj
解角	jiejiao,jj
解缴	jiejiao,jj
解结	jie,j
解结锥	jiezhui,jz
解解	jie,j
解巾	jiejin,jj
解禁	jiejin,jj
解经	jiejing,jj
解痉剂	xiejingji,xjj
解究	jiejiu,jj
解酒	jiejiu,jj
解救	jiejiu,jj
解沮	jieju,jj
解锯	jieju,jj
解倦	jiejuan,jj
解决	jiejue,jj
解决办法	jiejuebanfa,jjbf
解决争端	jiejuezhengduan,jjzd
解军	jiejun,jj
解开	jiekai,jk
解科	jieke,jk
解渴	jieke,jk
解空人	jiekongren,jkr
解控	jiekong,jk
解扣	jiekou,jk
解扣儿	jiekouer,jke
解库	jieku,jk
解款	jiekuan,jk
解困	jiekun,jk
解兰	jielan,jl
解缆	jielan,jl
解劳	jielao,jl
解了	jiele,jl
解累	jielei,jl
解离	jieli,jl
解离性人格疾患	jielixingrengejihuan,jlxrgjh
解理	jieli,jl
解理方向	jielifangxiang,jlfx
解理面	jielimian,jlm
解吏	jieli,jl
解连环	jielianhuan,jlh
解裂	jielie,jl
解铃	jieling,jl
解铃还是系铃人	jielinghaishixiren,jlhsxr
解铃还须系铃人	jielinghaixuxiren,jlhxxr
解铃还需系铃人	jielinghaixuxiren,jlhxxr
解铃系铃	jielingxi,jlx
解铃须用系铃人	jielingxuyongxiren,jlxyxr
解领	jieling,jl
解禄	jielu,jl
解罗	jieluo,jl
解落	jieluo,jl
解马	jiema,jm
解码	jiema,jm
解码器	jiemaqi,jmq
解嫚	jieman,jm
解慢	jieman,jm
解袂	jiemei,jm
解闷	jiemen,jm
解盟	jiemeng,jm
解梦	jiemeng,jm
解谜	jiemi,jm
解密	jiemi,jm
解免	jiemian,jm
解冕	jiemian,jm
解民倒悬	jiemindaoxuan,jmdx
解民悬	jieminxuan,jmx
解名	jieming,jm
解明	jieming,jm
解酩	jieming,jm
解纳	jiena,jn
解难	jienan,jn
解囊	jienang,jn
解囊相助	jienangxiangzhu,jnxz
解黏去缚	jienianqufu,jnqf
解纽	jieniu,jn
解怒	jienu,jn
解耦	jieou,jo
解佩	jiepei,jp
解配	jiepei,jp
解批	jiepi,jp
解譬	jiepi,jp
解聘	jiepin,jp
解破	jiepo,jp
解魄	jiepo,jp
解剖	jiepou,jp
解剖刀	jiepoudao,jpd
解剖麻雀	jiepoumaque,jpmq
解剖室	jiepoushi,jps
解剖学	jiepouxue,jpx
解铺	jiepu,jp
解骑	jieqi,jq
解气	jieqi,jq
解钱	jieqian,jq
解遣	jieqian,jq
解诮	jieqiao,jq
解情	jieqing,jq
解去	jiequ,jq
解趣	xiequ,xq
解劝	jiequan,jq
解券	jiequan,jq
解禳	jierang,jr
解热	jiere,jr
解人	jieren,jr
解人难得	jierennande,jrnd
解人颐	jierenyi,jry
解任	jieren,jr
解日	jieri,jr
解散	jiesan,js
解散髻	jiesanji,jsj
解散帻	jiesanze,jsz
解煞	jiesha,js
解舍	jieshe,js
解深密经	jieshenmijing,jsmj
解神	jieshen,js
解审	jieshen,js
解识	jieshi,js
解事	jieshi,js
解事舍人	jieshisheren,jssr
解侍	jieshi,js
解试	jieshi,js
解释	jieshi,js
解释器	jieshiqi,jsq
解释执行	jieshizhixing,jszx
解手	jieshou,js
解手刀	jieshoudao,jsd
解手尖刀	jieshoujiandao,jsjd
解首	jieshou,js
解绶	jieshou,js
解书	jieshu,js
解纾	jieshu,js
解暑	jieshu,js
解署	jieshu,js
解束	jieshu,js
解数	xieshu,xs
解霜雨	jieshuangyu,jsy
解水	jieshui,js
解说	jieshuo,js
解说词	jieshuoci,jsc
解说员	jieshuoyuan,jsy
解祀	jiesi,js
解送	jiesong,js
解溲	jiesou,js
解素	jiesu,js
解酸药	jiesuanyao,jsy
解隋	jiesui,js
解祟	jiesui,js
解锁	jiesuo,js
解榻	jieta,jt
解泰	jietai,jt
解探	jietan,jt
解陶	jietao,jt
解套	jietao,jt
解擿	jieti,jt
解题	jieti,jt
解体	jieti,jt
解帖	jietie,jt
解亭	jieting,jt
解痛	jietong,jt
解头	jietou,jt
解土	jietu,jt
解推	jietui,jt
解脱	jietuo,jt
解脱履	jietuolu,jtl
解槖	jietuo,jt
解箨	jietuo,jt
解腕	jiewan,jw
解腕刀	jiewandao,jwd
解腕尖刀	jiewanjiandao,jwjd
解网	jiewang,jw
解罔	jiewang,jw
解危	jiewei,jw
解围	jiewei,jw
解维	jiewei,jw
解位	jiewei,jw
解慰	jiewei,jw
解文	jiewen,jw
解悟	jiewu,jw
解寤	jiewu,jw
解吸	jiexi,jx
解析	jiexi,jx
解析地	jiexide,jxd
解析度	jiexidu,jxd
解析函数	jiexihanshu,jxhs
解析函数论	jiexihanshulun,jxhsl
解析几何	jiexijihe,jxjh
解析几何学	jiexijihexue,jxjhx
解析式	jiexishi,jxs
解奚	jiexi,jx
解息	jiexi,jx
解锡	jiexi,jx
解洗礼	jiexili,jxl
解玺	jiexi,jx
解禊	jiexi,jx
解下	jiexia,jx
解夏	jiexia,jx
解夏草	jiexiacao,jxc
解弦更张	jiexiangengzhang,jxgz
解饷	jiexiang,jx
解像度	jiexiangdu,jxd
解像力	jiexiangli,jxl
解小手	jiexiaoshou,jxs
解晓	jiexiao,jx
解携	jiexie,jx
解卸	jiexie,jx
解械	jiexie,jx
解谢	jiexie,jx
解心	jiexin,jx
解星	jiexing,jx
解形	jiexing,jx
解醒	jiexing,jx
解休	jiexiu,jx
解续	jiexu,jx
解悬	jiexuan,jx
解选	jiexuan,jx
解学	jiexue,jx
解训	jiexun,jx
解压	jieya,jy
解压缩	jieyasuo,jys
解严	jieyan,jy
解盐	xieyan,xy
解颜	jieyan,jy
解魇	jieyan,jy
解验	jieyan,jy
解鞅	jieyang,jy
解样	jieyang,jy
解药	jieyao,jy
解暍	jieye,jy
解衣	jieyi,jy
解衣般礴	jieyibanbo,jybb
解衣磅礴	jieyipangbo,jypb
解衣包火	jieyibaohuo,jybh
解衣抱火	jieyibaohuo,jybh
解衣盘磅	jieyipanpang,jypp
解衣盘礴	jieyipanbo,jypb
解衣槃磅	jieyipanpang,jypp
解衣去赶	jieyiqugan,jyqg
解衣推食	jieyituishi,jyts
解衣卸甲	jieyixiejia,jyxj
解衣衣人	jieyiren,jyr
解医	jieyi,jy
解颐	jieyi,jy
解疑	jieyi,jy
解疑释惑	jieyishihuo,jysh
解已	jieyi,jy
