触碍	chuai,ca
触鼻	chubi,cb
触拨	chubo,cb
触搏	chubo,cb
触尘	chuchen,cc
触处	chu,c
触处机来	chujilai,cjl
触触生	chusheng,cs
触刺	chuci,cc
触蹈	chudao,cd
触地	chudi,cd
触地得分	chudidefen,cddf
触地号天	chudihaotian,cdht
触抵	chudi,cd
触点	chudian,cd
触电	chudian,cd
触电似地	chudianshide,cdsd
触动	chudong,cd
触斗蛮争	chudoumanzheng,cdmz
触发	chufa,cf
触发器	chufaqi,cfq
触发清单	chufaqingdan,cfqd
触发引信	chufayinxin,cfyx
触法	chufa,cf
触藩	chufan,cf
触藩羝	chufandi,cfd
触犯	chufan,cf
触锋	chufeng,cf
触感	chugan,cg
触感地	chugande,cgd
触挂	chugua,cg
触寒	chuhan,ch
触喉	chuhou,ch
触讳	chuhui,ch
触祸	chuhuo,ch
触击	chuji,cj
触机	chuji,cj
触机便发	chujibianfa,cjbf
触激	chuji,cj
触及	chuji,cj
触忌	chuji,cj
触技曲	chujiqu,cjq
触谏	chujian,cj
触践	chujian,cj
触礁	chujiao,cj
触角	chujiao,cj
触禁	chujin,cj
触景	chujing,cj
触景伤怀	chujingshanghuai,cjsh
触景伤情	chujingshangqing,cjsq
触景伤心	chujingshangxin,cjsx
触景生情	chujingshengqing,cjsq
触觉	chujue,cj
触蹶	chujue,cj
触控板	chukongban,ckb
触控笔	chukongbi,ckb
触控点	chukongdian,ckd
触控屏幕	chukongpingmu,ckpm
触控式萤幕	chukongshiyingmu,cksym
触控萤幕	chukongyingmu,ckym
触雷	chulei,cl
触类	chulei,cl
触类而通	chuleiertong,clet
触类而长	chuleierchang,clec
触类旁通	chuleipangtong,clpt
触鳞	chulin,cl
触龙鳞	chulonglin,cll
触鹿	chulu,cl
触露	chulu,cl
触纶	chulun,cl
触罗	chuluo,cl
触蛮	chuman,cm
触毛	chumao,cm
触冒	chumao,cm
触媒	chumei,cm
触媒作用	chumeizuoyong,cmzy
触楣头	chumeitou,cmt
触酶	chumei,cm
触霉头	chumeitou,cmt
触民	chumin,cm
触摸	chumo,cm
触摸板	chumoban,cmb
触摸屏	chumoping,cmp
触摸屏幕	chumopingmu,cmpm
触劘	chumo,cm
触抹	chumo,cm
触目	chumu,cm
触目崩心	chumubengxin,cmbx
触目成诵	chumuchengsong,cmcs
触目皆是	chumujieshi,cmjs
触目经心	chumujingxin,cmjx
触目惊心	chumujingxin,cmjx
触目儆心	chumujingxin,cmjx
触目警心	chumujingxin,cmjx
触目如故	chumurugu,cmrg
触目伤怀	chumushanghuai,cmsh
触目伤心	chumushangxin,cmsx
触目恸心	chumutongxin,cmtx
触目兴叹	chumuxingtan,cmxt
触恼	chunao,cn
触逆	chuni,cn
触啮	chunie,cn
触怒	chunu,cn
触碰	chupeng,cp
触屏	chuping,cp
触瓶	chuping,cp
触器	chuqi,cq
触千捣万	chuqiandaowan,cqdw
触情	chuqing,cq
触热	chure,cr
触瑟	chuse,cs
触山	chushan,cs
触射	chushe,cs
触石	chushi,cs
触石决木	chushijuemu,csjm
触时	chushi,cs
触氏	chushi,cs
触事	chushi,cs
触手	chushou,cs
触手可得	chushoukede,cskd
触手可及	chushoukeji,cskj
触手生春	chushoushengchun,cssc
触受	chushou,cs
触暑	chushu,cs
触衰	chushuai,cs
触丝	chusi,cs
触死	chusi,cs
触损	chusun,cs
触通	chutong,ct
触桶	chutong,ct
触痛	chutong,ct
触突	chutu,ct
触涂	chutu,ct
触途	chutu,ct
触腕	chuwan,cw
触网	chuwang,cw
触污	chuwu,cw
触忤	chuwu,cw
触迕	chuwu,cw
触物	chuwu,cw
触物伤情	chuwushangqing,cwsq
触物兴怀	chuwuxinghuai,cwxh
触悟	chuwu,cw
触线	chuxian,cx
触陷	chuxian,cx
触邪	chuxie,cx
触邪冠	chuxieguan,cxg
触兴	chuxing,cx
触嗅	chuxiu,cx
触须	chuxu,cx
触绪	chuxu,cx
触续	chuxu,cx
触眼	chuyan,cy
触殃	chuyang,cy
触羊	chuyang,cy
触衣	chuyi,cy
触意	chuyi,cy
触引	chuyin,cy
触雨	chuyu,cy
触战	chuzhan,cz
触着	chuzhe,cz
触诊	chuzhen,cz
触肢	chuzhi,cz
触值	chuzhi,cz
触豸	chuzhi,cz
触置	chuzhi,cz
触罪	chuzui,cz
