言笔	yanbi,yb
言必信	yanbixin,ybx
言必有据	yanbiyouju,ybyj
言必有物	yanbiyouwu,ybyw
言必有中	yanbiyouzhong,ybyz
言表	yanbiao,yb
言炳丹青	yanbingdanqing,ybdq
言不达意	yanbudayi,ybdy
言不逮意	yanbudaiyi,ybdy
言不二价	yanbuerjia,ybej
言不顾行	yanbuguxing,ybgx
言不及行	yanbujixing,ybjx
言不及义	yanbujiyi,ybjy
言不尽意	yanbujinyi,ybjy
言不可传	yanbukechuan,ybkc
言不顺	yanbushun,ybs
言不由中	yanbuyouzhong,ybyz
言不由衷	yanbuyouzhong,ybyz
言策	yance,yc
言差语错	yanchayucuo,ycyc
言称	yancheng,yc
言斥	yanchi,yc
言出法随	yanchufasui,ycfs
言出祸从	yanchuhuocong,ychc
言出祸随	yanchuhuosui,ychs
言传	yanchuan,yc
言传身教	yanchuanshenjiao,ycsj
言喘	yanchuan,yc
言词	yanci,yc
言词恳切	yancikenqie,yckq
言辞	yanci,yc
言次	yanci,yc
言从计纳	yancongjina,ycjn
言从计听	yancongjiting,ycjt
言从计行	yancongjixing,ycjx
言道	yandao,yd
言德	yande,yd
言地	yandi,yd
言颠语倒	yandianyudao,ydyd
言调	yandiao,yd
言定	yanding,yd
言动	yandong,yd
言端	yanduan,yd
言对	yandui,yd
言多必失	yanduobishi,ydbs
言多伤行	yanduoshangxing,ydsx
言多伤幸	yanduoshangxing,ydsx
言多伤倖	yanduoshangxing,ydsx
言多语失	yanduoyushi,ydys
言而不信	yanerbuxin,yebx
言而无文	yanerwuwen,yeww
言而无信	yanerwuxin,yewx
言而有信	yaneryouxin,yeyx
言发祸随	yanfahuosui,yfhs
言方行圆	yanfangxingyuan,yfxy
言坊行表	yanfangxingbiao,yfxb
言芳行洁	yanfangxingjie,yfxj
言废	yanfei,yf
言讽	yanfeng,yf
言服	yanfu,yf
言符其实	yanfuqishi,yfqs
言綍	yanfu,yf
言父	yanfu,yf
言高语低	yangaoyudi,ygyd
言告	yangao,yg
言诰	yangao,yg
言功	yangong,yg
言寡尤	yanguayou,ygy
言观	yanguan,yg
言官	yanguan,yg
言归	yangui,yg
言归和好	yanguihehao,yghh
言归于好	yanguiyuhao,ygyh
言归正传	yanguizhengzhuan,ygzz
言过其实	yanguoqishi,ygqs
言和	yanhe,yh
言和意顺	yanheyishun,yhys
言话	yanhua,yh
言欢	yanhuan,yh
言简义丰	yanjianyifeng,yjyf
言简意该	yanjianyigai,yjyg
言简意赅	yanjianyigai,yjyg
言简意少	yanjianyishao,yjys
言简意深	yanjianyishen,yjys
言谏	yanjian,yj
言讲	yanjiang,yj
言教	yanjiao,yj
言教不如身教	yanjiaoburushen,yjbrs
言金	yanjin,yj
言近意远	yanjinyiyuan,yjyy
言近旨远	yanjinzhiyuan,yjzy
言近指远	yanjinzhiyuan,yjzy
言竞	yanjing,yj
言句	yanju,yj
言绝	yanjue,yj
言空	yankong,yk
言来语去	yanlaiyuqu,ylyq
言兰	yanlan,yl
言类悬河	yanleixuanhe,ylxh
言路	yanlu,yl
言乱	yanluan,yl
言纶	yanlun,yl
言论	yanlun,yl
言论风生	yanlunfengsheng,ylfs
言论机关	yanlunjiguan,yljg
言论界	yanlunjie,ylj
言论自由	yanlunziyou,ylzy
言脉	yanmai,ym
言貌	yanmao,ym
言面	yanmian,ym
言明	yanming,ym
言默	yanmo,ym
言纳	yanna,yn
言讷	yanne,yn
言念	yannian,yn
言鸟	yanniao,yn
言破	yanpo,yp
言气	yanqi,yq
言气卑弱	yanqibeiruo,yqbr
言巧	yanqiao,yq
言禽	yanqin,yq
言清行浊	yanqingxingzhuo,yqxz
言鲭	yanqing,yq
言情	yanqing,yq
言情小说	yanqingxiaoshuo,yqxs
言诠	yanquan,yq
言泉	yanquan,yq
言筌	yanquan,yq
言人人殊	yanrenshu,yrs
言容	yanrong,yr
言瑞	yanrui,yr
言若悬河	yanruoxuanhe,yrxh
言三语四	yansanyusi,ysys
言色	yanse,ys
言身寸	yanshencun,ysc
言甚详明	yanshenxiangming,ysxm
言声	yansheng,ys
言十妄九	yanshiwangjiu,yswj
言使	yanshi,ys
言事	yanshi,ys
言事官	yanshiguan,ysg
言是人非	yanshirenfei,ysrf
言誓	yanshi,ys
言枢	yanshu,ys
言数	yanshu,ys
言爽	yanshuang,ys
言说	yanshuo,ys
言丝	yansi,ys
言肆	yansi,ys
言讼	yansong,ys
言谈	yantan,yt
言谈举止	yantanjuzhi,ytjz
言谈林薮	yantanlinsou,ytls
言提	yanti,yt
言提其耳	yantiqier,ytqe
言听计从	yantingjicong,ytjc
言听计行	yantingjixing,ytjx
言听计用	yantingjiyong,ytjy
言听谋决	yantingmoujue,ytmj
言听事行	yantingshixing,ytsx
言听行从	yantingxingcong,ytxc
言吐	yantu,yt
言外之味	yanwaizhiwei,ywzw
言外之意	yanwaizhiyi,ywzy
言为心声	yanweixinsheng,ywxs
言文	yanwen,yw
言文行远	yanwenxingyuan,ywxy
言问	yanwen,yw
言无不尽	yanwubujin,ywbj
言无二价	yanwuerjia,ywej
言无伦次	yanwulunci,ywlc
言晤	yanwu,yw
言戏	yanxi,yx
言下	yanxia,yx
言下之意	yanxiazhiyi,yxzy
言象	yanxiang,yx
言笑	yanxiao,yx
言笑不苟	yanxiaobugou,yxbg
言笑晏晏	yanxiao,yx
言笑自如	yanxiaoziru,yxzr
言笑自若	yanxiaoziruo,yxzr
言心	yanxin,yx
言信	yanxin,yx
言信行果	yanxinxingguo,yxxg
言信行直	yanxinxingzhi,yxxz
言行	yanxing,yx
言行抱一	yanxingbaoyi,yxby
言行不贰	yanxingbuer,yxbe
言行不符	yanxingbufu,yxbf
言行不一	yanxingbuyi,yxby
言行计从	yanxingjicong,yxjc
言行若一	yanxingruoyi,yxry
言行相悖	yanxingxiangbei,yxxb
言行相符	yanxingxiangfu,yxxf
言行相副	yanxingxiangfu,yxxf
言行相顾	yanxingxianggu,yxxg
言行相诡	yanxingxianggui,yxxg
言行信果	yanxingxinguo,yxxg
言行一致	yanxingyizhi,yxyz
言宣	yanxuan,yx
言旋	yanxuan,yx
言噱	yanjue,yj
言谑	yanxue,yx
言言	yan,y
言言语语	yanyu,yy
言宴	yan,y
言燕	yan,y
言扬	yanyang,yy
言扬行举	yanyangxingju,yyxj
言议	yanyi,yy
言意	yanyi,yy
言音	yanyin,yy
言咏	yanyong,yy
