设隘	sheai,sa
设熬	sheao,sa
设摆	shebai,sb
设拜	shebai,sb
设班	sheban,sb
设版	sheban,sb
设报	shebao,sb
设备	shebei,sb
设变	shebian,sb
设辨	shebian,sb
设辩	shebian,sb
设兵	shebing,sb
设策	shece,sc
设厂	shechang,sc
设朝	shechao,sc
设陈	shechen,sc
设诚	shecheng,sc
设厨	shechu,sc
设储	shechu,sc
设处	shechu,sc
设词	sheci,sc
设辞	sheci,sc
设次	sheci,sc
设措	shecuo,sc
设得兰群岛	shedelanqundao,sdlqd
设点	shedian,sd
设奠	shedian,sd
设吊	shediao,sd
设定	sheding,sd
设东	shedong,sd
设都	shedou,sd
设渡	shedu,sd
设端	sheduan,sd
设铎	sheduo,sd
设法	shefa,sf
设方	shefang,sf
设防	shefang,sf
设放	shefang,sf
设伏	shefu,sf
设佛	shefo,sf
设服	shefu,sf
设泭	shefu,sf
设府	shefu,sf
设岗	shegang,sg
设供	shegong,sg
设官	sheguan,sg
设馆	sheguan,sg
设诡	shegui,sg
设鬼	shegui,sg
设国	sheguo,sg
设弧	shehu,sh
设枑	shehu,sh
设化	shehua,sh
设会	shehui,sh
设或	shehuo,sh
设机	sheji,sj
设笄	sheji,sj
设极	sheji,sj
设棘	sheji,sj
设戟	sheji,sj
设计	sheji,sj
设计程序	shejichengxu,sjcx
设计规范	shejiguifan,sjgf
设计师	shejishi,sjs
设计者	shejizhe,sjz
设祭	sheji,sj
设间	shejian,sj
设监	shejian,sj
设建	shejian,sj
设教	shejiao,sj
设醮	shejiao,sj
设节	shejie,sj
设禁	shejin,sj
设阱	shejing,sj
设穽	shejing,sj
设警	shejing,sj
设境	shejing,sj
设罝	sheju,sj
设局	sheju,sj
设簴	sheju,sj
设爵	shejue,sj
设卡	sheka,sk
设科	sheke,sk
设科打诨	shekedahun,skdh
设客	sheke,sk
设口	shekou,sk
设款	shekuan,sk
设纚	sheli,sl
设醴	sheli,sl
设立	sheli,sl
设利	sheli,sl
设令	sheling,sl
设虑	shelu,sl
设论	shelun,sl
设旄	shemao,sm
设谋	shemou,sm
设难	shenan,sn
设念	shenian,sn
设弄	shenong,sn
设佩	shepei,sp
设譬	shepi,sp
设骗	shepian,sp
设品	shepin,sp
设奇	sheqi,sq
设圈套	shequantao,sqt
设人	sheren,sr
设戎	sherong,sr
设容	sherong,sr
设如	sheru,sr
设若	sheruo,sr
设色	shese,ss
设赏	sheshang,ss
设上	sheshang,ss
设舍	she,s
设设	she,s
设身	sheshen,ss
设身处地	sheshenchudi,sscd
设施	sheshi,ss
设使	sheshi,ss
设事	sheshi,ss
设饰	sheshi,ss
设誓	sheshi,ss
设守	sheshou,ss
设数	sheshu,ss
设帨	sheshui,ss
设私	shesi,ss
设算	shesuan,ss
设榻	sheta,st
设摊	shetan,st
设厅	sheting,st
设网	shewang,sw
设卫	shewei,sw
设位	shewei,sw
设文	shewen,sw
设问	shewen,sw
设席	shexi,sx
设洗	shexi,sx
设戏	shexi,sx
设舝	shexia,sx
设险	shexian,sx
设限	shexian,sx
设陷	shexian,sx
设庠	shexiang,sx
设享	shexiang,sx
设飨	shexiang,sx
设想	shexiang,sx
设想地	shexiangde,sxd
设象	shexiang,sx
设心	shexin,sx
设心处虑	shexinchulu,sxcl
设心积虑	shexinjilu,sxjl
设刑	shexing,sx
设行	shexing,sx
设修	shexiu,sx
设许	shexu,sx
设悬	shexuan,sx
设言	sheyan,sy
设筵	sheyan,sy
设砚	sheyan,sy
设宴	sheyan,sy
设验	sheyan,sy
设焰口	sheyankou,syk
设燕	sheyan,sy
设衣	sheyi,sy
设仪	sheyi,sy
设移	sheyi,sy
设疑	sheyi,sy
设意	sheyi,sy
设饮	sheyin,sy
设营	sheying,sy
设营队	sheyingdui,syd
设用	sheyong,sy
设有	sheyou,sy
设喻	sheyu,sy
设员	sheyuan,sy
设在	shezai,sz
设诈	shezha,sz
设斋	shezhai,sz
设张	shezhang,sz
设帐	shezhang,sz
设障	shezhang,sz
设政	shezheng,sz
设置	shezhi,sz
设中	shezhong,sz
设重	shezhong,sz
设粥	shezhou,sz
设主	shezhu,sz
设主人	shezhuren,szr
设祖	shezu,sz
设作	shezuo,sz
设坐	shezuo,sz
