识拔	shiba,sb
识本	shiben,sb
识变	shibian,sb
识变从宜	shibiancongyi,sbcy
识辨	shibian,sb
识辩	shibian,sb
识别	shibie,sb
识别号	shibiehao,sbh
识别码	shibiema,sbm
识别证	shibiezheng,sbz
识才	shicai,sc
识才尊贤	shicaizunxian,sczx
识裁	shicai,sc
识察	shicha,sc
识乘除	shichengchu,scc
识穿	shichuan,sc
识达	shida,sd
识大体	shidati,sdt
识道	shidao,sd
识得	shide,sd
识吊头	shidiaotou,sdt
识丁	shiding,sd
识度	shidu,sd
识断	shiduan,sd
识多才广	shiduocaiguang,sdcg
识二五而不知十	shierwubuzhi,sewbz
识韩	shihan,sh
识会	shihui,sh
识货	shihuo,sh
识机	shiji,sj
识几	shiji,sj
识记	shiji,sj
识检	shijian,sj
识见	shijian,sj
识鉴	shijian,sj
识解	shijie,sj
识荆	shijing,sj
识荆恨晚	shijinghenwan,sjhw
识局	shiju,sj
识举	shiju,sj
识具	shiju,sj
识俊	shijun,sj
识考	shikao,sk
识空便	shikongbian,skb
识窟	shiku,sk
识窥	shikui,sk
识礼知书	shilizhishu,slzs
识理	shili,sl
识力	shili,sl
识量	shiliang,sl
识履	shilu,sl
识虑	shilu,sl
识略	shilue,sl
识眄	shimian,sm
识面	shimian,sm
识面台官	shimiantaiguan,smtg
识灭	shimie,sm
识明智审	shimingzhishen,smzs
识念	zhinian,zn
识破	shipo,sp
识破机关	shipojiguan,spjg
识起倒	shiqidao,sqd
识器	shiqi,sq
识窍	shiqiao,sq
识曲	shiqu,sq
识取	shiqu,sq
识趣	shiqu,sq
识趣地	shiqude,sqd
识却	shique,sq
识人	shiren,sr
识认	shiren,sr
识赏	shishang,ss
识神	shishen,ss
识时	shi,s
识时达变	shidabian,sdb
识时达务	shidawu,sdw
识时通变	shitongbian,stb
识时务	shiwu,sw
识时务者为俊杰	shiwuzheweijunjie,swzwjj
识事	shi,s
识视	shi,s
识熟	shishu,ss
识数	shishu,ss
识水性	shishuixing,ssx
识锁	shisuo,ss
识体	shiti,st
识透	shitou,st
识涂老马	shitulaoma,stlm
识涂马	shituma,stm
识途	shitu,st
识途老马	shitulaoma,stlm
识微	shiwei,sw
识微见几	shiweijianji,swjj
识微见远	shiweijianyuan,swjy
识微知著	shiweizhizhuo,swzz
识味	shiwei,sw
识文断字	shiwenduanzi,swdz
识文谈字	shiwentanzi,swtz
识务	shiwu,sw
识悟	shiwu,sw
识悉	shixi,sx
识习	shixi,sx
识相	shixiang,sx
识想	shixiang,sx
识心	shixin,sx
识性	shixing,sx
识羞	shixiu,sx
识学	shixue,sx
识要	shiyao,sy
识业	shiye,sy
识义	shiyi,sy
识艺	shiyi,sy
识议	shiyi,sy
识诣	shiyi,sy
识用	shiyong,sy
识有	shiyou,sy
识宇	shiyu,sy
识遇	shiyu,sy
识远	shiyuan,sy
识照	shizhao,sz
识者	shizhe,sz
识真	shizhen,sz
识知	shizhi,sz
识职	shizhi,sz
识致	shizhi,sz
识主	shizhu,sz
识准	shizhun,sz
识擢	shizhuo,sz
识字	shizi,sz
识字班	shiziban,szb
识字率	shizilu,szl
识字知书	shizizhishu,szzs
