诞傲	danao,da
诞保	danbao,db
诞布	danbu,db
诞畅	danchang,dc
诞辰	danchen,dc
诞辞	danci,dc
诞宕	dandang,dd
诞荡	dandang,dd
诞得	dande,dd
诞德	dande,dd
诞登	dandeng,dd
诞笃	dandu,dd
诞发	danfa,df
诞伐	danfa,df
诞放	danfang,df
诞敷	danfu,df
诞告	dangao,dg
诞诡	dangui,dg
诞幻	danhuan,dh
诞幻不经	danhuanbujing,dhbj
诞漶	danhuan,dh
诞基	danji,dj
诞计	danji,dj
诞将	danjiang,dj
诞降	danjiang,dj
诞节	danjie,dj
诞矜	danjin,dj
诞静	danjing,dj
诞倨	danju,dj
诞谲	danjue,dj
诞诳	dankuang,dk
诞灵	danling,dl
诞率	danlu,dl
诞略	danlue,dl
诞马	danma,dm
诞谩	danman,dm
诞谩不经	danmanbujing,dmbj
诞慢	danman,dm
诞漫	danman,dm
诞蔓	danman,dm
诞弥	danmi,dm
诞命	danming,dm
诞谬	danmiu,dm
诞僻	danpi,dp
诞铺	danpu,dp
诞欺	danqi,dq
诞庆	danqing,dq
诞日	danri,dr
诞乳	danru,dr
诞蓐	danru,dr
诞涩	danse,ds
诞生	dansheng,ds
诞圣	dansheng,ds
诞圣节	danshengjie,dsj
诞受	danshou,ds
诞授	danshou,ds
诞说	danshuo,ds
诞肆	dansi,ds
诞谈	dantan,dt
诞叹	dantan,dt
诞瓦	danwa,dw
诞罔	danwang,dw
诞罔不经	danwangbujing,dwbj
诞妄	danwang,dw
诞妄不经	danwangbujing,dwbj
诞喜	danxi,dx
诞纤	danxian,dx
诞信	danxin,dx
诞兴	danxing,dx
诞性	danxing,dx
诞秀	danxiu,dx
诞虚	danxu,dx
诞序	danxu,dx
诞言	danyan,dy
诞曜	danyao,dy
诞逸	danyi,dy
诞意	danyi,dy
诞淫	danyin,dy
诞应	danying,dy
诞英	danying,dy
诞膺	danying,dy
诞育	danyu,dy
诞欲	danyu,dy
诞誉	danyu,dy
诞毓	danyu,dy
诞月	danyue,dy
诞孕	danyun,dy
诞载	danzai,dz
诞诈	danzha,dz
诞章	danzhang,dz
诞昭	danzhao,dz
诞哲	danzhe,dz
诞质	danzhi,dz
诞姿	danzi,dz
诞恣	danzi,dz
诞纵	danzong,dz
