诠笔	quanbi,qb
诠辩	quanbian,qb
诠表	quanbiao,qb
诠补	quanbu,qb
诠才末学	quancaimoxue,qcmx
诠除	quanchu,qc
诠词	quanci,qc
诠次	quanci,qc
诠第	quandi,qd
诠谛	quandi,qd
诠订	quanding,qd
诠度	quandu,qd
诠发	quanfa,qf
诠贯	quanguan,qg
诠拣	quanjian,qj
诠简	quanjian,qj
诠较	quanjiao,qj
诠解	quanjie,qj
诠量	quanliang,ql
诠论	quanlun,ql
诠明	quanming,qm
诠品	quanpin,qp
诠评	quanping,qp
诠识	quanshi,qs
诠释	quanshi,qs
诠释学	quanshixue,qsx
诠释资料	quanshiziliao,qszl
诠授	quanshou,qs
诠疏	quanshu,qs
诠述	quanshu,qs
诠说	quanshuo,qs
诠索	quansuo,qs
诠序	quanxu,qx
诠叙	quanxu,qx
诠言	quanyan,qy
诠义	quanyi,qy
诠译	quanyi,qy
诠用	quanyong,qy
诠藻	quanzao,qz
诠择	quanze,qz
诠正	quanzheng,qz
诠证	quanzheng,qz
诠旨	quanzhi,qz
诠注	quanzhu,qz
