询按	xunan,xa
询采	xuncai,xc
询查	xuncha,xc
询察	xuncha,xc
询刍	xunchu,xc
询访	xunfang,xf
询根问底	xungenwendi,xgwd
询价	xunjia,xj
询诘	xunjie,xj
询究	xunjiu,xj
询鞫	xunju,xj
询考	xunkao,xk
询叩	xunkou,xk
询觅	xunmi,xm
询谋	xunmou,xm
询谋佥同	xunmouqiantong,xmqt
询谋谘度	xunmouzidu,xmzd
询纳	xunna,xn
询盘	xunpan,xp
询迁询谋	xunqianmou,xqm
询请	xunqing,xq
询求	xunqiu,xq
询荛	xunrao,xr
询审	xunshen,xs
询事考言	xunshikaoyan,xsky
询视	xunshi,xs
询索	xunsuo,xs
询闻	xunwen,xw
询问	xunwen,xw
询问台	xunwentai,xwt
询吁之乐	xunyuzhiyue,xyzy
询仰	xunyang,xy
询议	xunyi,xy
询诱	xunyou,xy
询于刍荛	xunyuchurao,xycr
询质	xunzhi,xz
询咨	xunzi,xz
