谋变	moubian,mb
谋才	moucai,mc
谋材	moucai,mc
谋财	moucai,mc
谋财害命	moucaihaiming,mchm
谋策	mouce,mc
谋差	moucha,mc
谋朝	mouchao,mc
谋臣	mouchen,mc
谋臣猛将	mouchenmengjiang,mcmj
谋臣如雨	mouchenruyu,mcry
谋臣武将	mouchenwujiang,mcwj
谋刺	mouci,mc
谋道	moudao,md
谋道作舍	moudaozuoshe,mdzs
谋得	moude,md
谋度	moudu,md
谋断	mouduan,md
谋反	moufan,mf
谋夫	moufu,mf
谋夫孔多	moufukongduo,mfkd
谋府	moufu,mf
谋干	mougan,mg
谋攻	mougong,mg
谋龟	mougui,mg
谋国	mouguo,mg
谋害	mouhai,mh
谋合	mouhe,mh
谋虹	mouhong,mh
谋划	mouhua,mh
谋画	mouhua,mh
谋欢	mouhuan,mh
谋活	mouhuo,mh
谋计	mouji,mj
谋迹	mouji,mj
谋奸	moujian,mj
谋将	moujiang,mj
谋结	moujie,mj
谋克	mouke,mk
谋客	mouke,mk
谋力	mouli,ml
谋利	mouli,ml
谋量	mouliang,ml
谋律	moulu,ml
谋虑	moulu,ml
谋略	moulue,ml
谋论	moulun,ml
谋面	moumian,mm
谋命	mouming,mm
谋谟	moumo,mm
谋谟帷幄	moumoweiwo,mmww
谋逆	mouni,mn
谋年	mounian,mn
谋叛	moupan,mp
谋畔	moupan,mp
谋篇	moupian,mp
谋求	mouqiu,mq
谋取	mouqu,mq
谋阙	mouque,mq
谋人	mouren,mr
谋如涌泉	mouruyongquan,mryq
谋杀	mousha,ms
谋杀案	moushaan,msa
谋杀罪	moushazui,msz
谋身	moushen,ms
谋生	mousheng,ms
谋识	moushi,ms
谋食	moushi,ms
谋始	moushi,ms
谋士	moushi,ms
谋事	moushi,ms
谋事在人	moushizairen,mszr
谋筮	moushi,ms
谋首	moushou,ms
谋术	moushu,ms
谋帅	moushuai,ms
谋私	mousi,ms
谋算	mousuan,ms
谋孙	mousun,ms
谋听计行	moutingjixing,mtjx
谋图	moutu,mt
谋图不轨	moutubugui,mtbg
谋望	mouwang,mw
谋惟	mouwei,mw
谋维	mouwei,mw
谋为不轨	mouweibugui,mwbg
谋幄	mouwo,mw
谋无遗策	mouwuyice,mwyc
谋无遗谞	mouwuyixu,mwyx
谋夕	mouxi,mx
谋宪	mouxian,mx
谋陷	mouxian,mx
谋心	mouxin,mx
谋新	mouxin,mx
谋选	mouxuan,mx
谋寻	mouxun,mx
谋询	mouxun,mx
谋言	mouyan,my
谋养	mouyang,my
谋野	mouye,my
谋议	mouyi,my
谋意	mouyi,my
谋翼	mouyi,my
谋勇	mouyong,my
谋犹	mouyou,my
谋猷	mouyou,my
谋元	mouyuan,my
谋约	mouyue,my
谋赞	mouzan,mz
谋谮	mouzen,mz
谋诈	mouzha,mz
谋章	mouzhang,mz
谋长	mouzhang,mz
谋政	mouzheng,mz
谋职	mouzhi,mz
谋志	mouzhi,mz
谋智	mouzhi,mz
谋主	mouzhu,mz
