豺貙	chaichu,cc
豺羹	chaigeng,cg
豺狗	chaigou,cg
豺遘	chaigou,cg
豺狐之心	chaihuzhixin,chzx
豺虎	chaihu,ch
豺虎窟	chaihuku,chk
豺虎肆虐	chaihusinue,chsn
豺虺	chaihui,ch
豺祭	chaiji,cj
豺节	chaijie,cj
豺舅	chaijiu,cj
豺狼	chailang,cl
豺狼成性	chailangchengxing,clcx
豺狼当道	chailangdangdao,cldd
豺狼当路	chailangdanglu,cldl
豺狼当涂	chailangdangtu,cldt
豺狼横道	chailanghengdao,clhd
豺狼虎豹	chailanghubao,clhb
豺狼塞路	chailangsailu,clsl
豺狼野心	chailangyexin,clyx
豺狼之吻	chailangzhiwen,clzw
豺狼座	chailangzuo,clz
豺目	chaimu,cm
豺漆	chaiqi,cq
豺声	chaisheng,cs
豺豕	chaishi,cs
豺鼠子	chaishuzi,csz
豺兕	chaisi,cs
豺獭	chaita,ct
豺贪	chaitan,ct
豺武	chaiwu,cw
豺心	chaixin,cx
豺牙	chaiya,cy
豺羽	chaiyu,cy
