负案	fuan,fa
负媪	fuao,fa
负败	fubai,fb
负板	fuban,fb
负板袴	fubanku,fbk
负版	fuban,fb
负版绔	fubanku,fbk
负蝂	fuban,fb
负谤	fubang,fb
负苞	fubao,fb
负抱	fubao,fb
负背	fubei,fb
负畚	fuben,fb
负鄙	fubi,fb
负摈	fubin,fb
负冰	fubing,fb
负病	fubing,fb
负博	fubo,fb
负逋	fubu,fb
负哺	fubu,fb
负步	fubu,fb
负才	fucai,fc
负才傲物	fucaiaowu,fcaw
负才任气	fucairenqi,fcrq
负才使气	fucaishiqi,fcsq
负材矜地	fucaijindi,fcjd
负材任气	fucairenqi,fcrq
负惭	fucan,fc
负偿	fuchang,fc
负乘	fucheng,fc
负乘斯夺	fuchengsiduo,fcsd
负乘致寇	fuchengzhikou,fczk
负持	fuchi,fc
负耻	fuchi,fc
负宠	fuchong,fc
负刍	fuchu,fc
负处	fuchu,fc
负床之孙	fuchuangzhisun,fczs
负创	fuchuang,fc
负刺	fuci,fc
负从	fucong,fc
负绐	fudai,fd
负带	fudai,fd
负戴	fudai,fd
负担	fudan,fd
负担不起	fudanbuqi,fdbq
负担舍舟	fudanshezhou,fdsz
负担者	fudanzhe,fdz
负儋	fudan,fd
负德	fude,fd
负德背义	fudebeiyi,fdby
负德孤恩	fudeguen,fdge
负德辜恩	fudeguen,fdge
负地矜才	fudijincai,fdjc
负地性	fudexing,fdx
负靮	fudi,fd
负电	fudian,fd
负电荷	fudianhe,fdh
负殿	fudian,fd
负钓	fudiao,fd
负鼎	fuding,fd
负恫	fudong,fd
负斗	fudou,fd
负妒	fudu,fd
负对	fudui,fd
负轭	fue,fe
负恩	fuen,fe
负恩背义	fuenbeiyi,feby
负恩昧良	fuenmeiliang,feml
负恩忘义	fuenwangyi,fewy
负贰	fuer,fe
负罚	fufa,ff
负蠜	fufan,ff
负反馈	fufankui,ffk
负犯	fufan,ff
负贩	fufan,ff
负方	fufang,ff
负非	fufei,ff
负分	fufen,ff
负釜	fu,f
负负	fu,f
负公鼎	fugongding,fgd
负功	fugong,fg
负耉	fugou,fg
负诟忍尤	fugourenyou,fgry
负鼓	fugu,fg
负固	fugu,fg
负固不宾	fugububin,fgbb
负固不服	fugubu,fgb
负关	fuguan,fg
负官	fuguan,fg
负贵	fugui,fg
负郭	fuguo,fg
负郭田	fuguotian,fgt
负郭相君	fuguoxiangjun,fgxj
负国	fuguo,fg
负海	fuhai,fh
负号	fuhao,fh
负河	fuhe,fh
负荷	fuhe,fh
负恨	fuhen,fh
负衡	fuheng,fh
负衡据鼎	fuhengjuding,fhjd
负侯	fuhou,fh
负糇	fuhou,fh
负户	fuhu,fh
负怙	fuhu,fh
负秽	fuhui,fh
负魂	fuhun,fh
负讥	fuji,fj
负羁	fuji,fj
负羁妻	fujiqi,fjq
负羇	fuji,fj
负覊妻	fujiqi,fjq
负极	fuji,fj
负急	fuji,fj
负笈	fuji,fj
负疾	fuji,fj
负坚执锐	fujianzhirui,fjzr
负剑	fujian,fj
负揭	fujie,fj
负芥	fujie,fj
负金	fujin,fj
负进	fujin,fj
负荆	fujing,fj
负荆请罪	fujingqingzui,fjqz
负荆谢罪	fujingxiezui,fjxz
负咎	fujiu,fj
负疚	fujiu,fj
负柩	fujiu,fj
负局	fuju,fj
负局翁	fujuweng,fjw
负局仙	fujuxian,fjx
负局先生	fujuxiansheng,fjxs
负爵	fujue,fj
负疴	fuke,fk
负课	fuke,fk
负口	fukou,fk
负亏	fukui,fk
负魁	fukui,fk
负媿	fukui,fk
负愧	fukui,fk
负困	fukun,fk
负廓	fukuo,fk
负籣	fulan,fl
负韊	fulan,fl
负浪	fulang,fl
负老提幼	fulaotiyou,flty
负老携幼	fulaoxieyou,flxy
负羸	fulei,fl
负耒	fulei,fl
负垒	fulei,fl
负絫	fulei,fl
负类反伦	fuleifanlun,flfl
负累	fulei,fl
负离子	fulizi,flz
负力	fuli,fl
负立	fuli,fl
负利率	fulilu,fll
负戾	fuli,fl
负摙	fulian,fl
负流	fuliu,fl
负乱	fuluan,fl
负芒	fumang,fm
负芒披苇	fumangpiwei,fmpw
负冒	fumao,fm
负盟	fumeng,fm
负米	fumi,fm
负面	fumian,fm
负名	fuming,fm
负螟	fuming,fm
负命	fuming,fm
负姆	fumu,fm
负囊	funang,fn
负能	funeng,fn
负能量	funengliang,fnl
负逆	funi,fn
负牛	funiu,fn
负驽前驱	funuqianqu,fnqq
负弩	funu,fn
负弩前驱	funuqianqu,fnqq
负诺	funuo,fn
负盘	fupan,fp
负畔	fupan,fp
负片	fupian,fp
负曝	fupu,fp
负期	fuqi,fq
负奇	fuqi,fq
负气	fuqi,fq
负气斗狠	fuqidouhen,fqdh
负气含灵	fuqihanling,fqhl
负气仗义	fuqizhangyi,fqzy
负愆	fuqian,fq
负諐	fuqian,fq
负谴	fuqian,fq
负欠	fuqian,fq
负墙	fuqiang,fq
负襁	fuqiang,fq
负樵	fuqiao,fq
负诮	fuqiao,fq
负挈	fuqie,fq
负箧	fuqie,fq
负情	fuqing,fq
负曲	fuqu,fq
负屈	fuqu,fq
负屈含冤	fuquhanyuan,fqhy
负屈含寃	fuquhanyuan,fqhy
负屈衔冤	fuquxianyuan,fqxy
负屈衔寃	fuquxianyuan,fqxy
负券	fuquan,fq
负阙	fuque,fq
负雀	fuque,fq
负任	furen,fr
负任蒙劳	furenmenglao,frml
负日	furi,fr
负辱	furu,fr
负山	fushan,fs
负伤	fushang,fs
负声	fusheng,fs
负绳	fusheng,fs
负胜	fusheng,fs
负尸	fushi,fs
负失	fushi,fs
负石	fushi,fs
负石赴河	fushihe,fsh
负时	fushi,fs
负实	fushi,fs
负矢	fushi,fs
负势	fushi,fs
负恃	fushi,fs
负誓	fushi,fs
负手	fushou,fs
负手之歌	fushouzhige,fszg
负书	fushu,fs
负输	fushu,fs
负鼠	fushu,fs
负数	fushu,fs
负霜	fushuang,fs
负水	fushui,fs
负俗	fusu,fs
负俗之讥	fusuzhiji,fszj
负俗之累	fusuzhilei,fszl
负素	fusu,fs
负筭	fusuan,fs
负算	fusuan,fs
负慝	fute,ft
负疼	futeng,ft
负天	futian,ft
负忝	futian,ft
负铁	futie,ft
负痛	futong,ft
