责办	zeban,zb
责报	zebao,zb
责备	zebei,zb
责备地	zebeide,zbd
责备求全	zebeiqiuquan,zbqq
责备似地	zebeishide,zbsd
责比	zebi,zb
责编	zebian,zb
责贬	zebian,zb
责辨	zebian,zb
责辩	zebian,zb
责逋	zebu,zb
责偿	zechang,zc
责成	zecheng,zc
责承	zecheng,zc
责诚	zecheng,zc
责惩	zecheng,zc
责斥	zechi,zc
责楚	zechu,zc
责处	zechu,zc
责黜	zechu,zc
责词	zeci,zc
责打	zeda,zd
责赕	zedan,zd
责督	zedu,zd
责笃	zedu,zd
责断	zeduan,zd
责发	zefa,zf
责伐	zefa,zf
责罚	zefa,zf
责付	zefu,zf
责负	zefu,zf
责赋	zefu,zf
责告	zegao,zg
责革	zege,zg
责功	zegong,zg
责躬	zegong,zg
责贡	zegong,zg
责诟	zegou,zg
责怪	zeguai,zg
责官	zeguan,zg
责过	zeguo,zg
责户	zehu,zh
责悔	zehui,zh
责贿	zehui,zh
责货	zehuo,zh
责祸	zehuo,zh
责家	zejia,zj
责降	zejiang,zj
责诘	zejie,zj
责戒	zejie,zj
责景	zejing,zj
责儆	zejing,zj
责究	zejiu,zj
责咎	zejiu,zj
责居	zeju,zj
责课	zeke,zk
责厉	zeli,zl
责励	zeli,zl
责詈	zeli,zl
责令	zeling,zl
责赂	zhailu,zl
责禄	zelu,zl
责率	zelu,zl
责骂	zema,zm
责买	zemai,zm
责茅	zemao,zm
责免	zemian,zm
责命	zeming,zm
责难	zenan,zn
责难地	zenande,znd
责难似地	zenanshide,znsd
责怒	zenu,zn
责诺	zenuo,zn
责譬	zepi,zp
责迫	zepo,zp
责扑	zepu,zp
责期	zeqi,zq
责谴	zeqian,zq
责欠	zeqian,zq
责诮	zeqiao,zq
责求	zeqiu,zq
责赇	zeqiu,zq
责取	zequ,zq
责权利	zequanli,zql
责劝	zequan,zq
责券	zequan,zq
责嚷	zerang,zr
责让	zerang,zr
责任	zeren,zr
责任编辑	zerenbianji,zrbj
责任感	zerengan,zrg
责任能力	zerennengli,zrnl
责任人	zeren,zr
责任事故	zerenshigu,zrsg
责任书	zerenshu,zrs
责任田	zerentian,zrt
责任心	zerenxin,zrx
责任制	zerenzhi,zrz
责任状	zerenzhuang,zrz
责辱	zeru,zr
责善	zeshan,zs
责失	zeshi,zs
责实	zeshi,zs
责实循名	zeshixunming,zsxm
责仕	zeshi,zs
责守	zeshou,zs
责授	zeshou,zs
责书	zeshu,zs
责疎	zeshu,zs
责疏	zeshu,zs
责数	zeshu,zs
责帅	zeshuai,zs
责税	zeshui,zs
责望	zewang,zw
责问	zewen,zw
责无旁贷	zewupangdai,zwpd
责息	zexi,zx
责徙	zexi,zx
责下	zexia,zx
责嫌	zexian,zx
责限	zexian,zx
责效	zexiao,zx
责信	zexin,zx
责修	zexiu,zx
责讯	zexun,zx
责押	zeya,zy
责言	zeyan,zy
责要	zeyao,zy
责义	zeyi,zy
责阴	zeyin,zy
责有	zeyou,zy
责有所归	zeyousuogui,zysg
责有攸归	zeyougui,zyg
责诱	zeyou,zy
责怨	zeyuan,zy
责赃	zezang,zz
责责	ze,z
责债	zezhai,zz
责战	zezhan,zz
责杖	zezhang,zz
责知	zezhi,zz
责治	zezhi,zz
责主	zezhu,zz
责状	zezhuang,zz
责罪	zezui,zz
