贬谤	bianbang,bb
贬笔	bianbi,bb
贬剥	bianbao,bb
贬驳	bianbo,bb
贬裁	biancai,bc
贬撤	bianche,bc
贬称	biancheng,bc
贬斥	bianchi,bc
贬处	bianchu,bc
贬绌	bianchu,bc
贬黜	bianchu,bc
贬词	bianci,bc
贬辞	bianci,bc
贬刺	bianci,bc
贬窜	biancuan,bc
贬悴	biancui,bc
贬挫	biancuo,bc
贬弹	biandan,bd
贬低	biandi,bd
贬多于褒	bianduoyubao,bdyb
贬夺	bianduo,bd
贬伐	bianfa,bf
贬罚	bianfa,bf
贬放	bianfang,bf
贬废	bianfei,bf
贬甘	biangan,bg
贬骨	biangu,bg
贬官	bianguan,bg
贬忽	bianhu,bh
贬毁	bianhui,bh
贬晦	bianhui,bh
贬讥	bianji,bj
贬家	bianjia,bj
贬价	bianjia,bj
贬贱	bianjian,bj
贬降	bianjiang,bj
贬洁	bianjie,bj
贬解	bianjie,bj
贬居	bianju,bj
贬绝	bianjue,bj
贬乐	bianle,bl
贬累	bianlei,bl
贬励	bianli,bl
贬量	bianliang,bl
贬流	bianliu,bl
贬戮	bianlu,bl
贬落	bianluo,bl
贬没	bianmei,bm
贬匿	bianni,bn
贬弃	bianqi,bq
贬诎	bianqu,bq
贬辱	bianru,br
贬杀	biansha,bs
贬膳	bianshan,bs
贬身	bianshen,bs
贬省	biansheng,bs
贬食	bianshi,bs
贬瘦	bianshou,bs
贬俗	biansu,bs
贬素	biansu,bs
贬损	biansun,bs
贬所	biansuo,bs
贬退	biantui,bt
贬望	bianwang,bw
贬笑	bianxiao,bx
贬削	bianxue,bx
贬颜	bianyan,by
贬义	bianyi,by
贬义词	bianyici,byc
贬议	bianyi,by
贬异	bianyi,by
贬抑	bianyi,by
贬易	bianyi,by
贬引	bianyin,by
贬约	bianyue,by
贬责	bianze,bz
贬折	bianshe,bs
贬谪	bianzhe,bz
贬值	bianzhi,bz
贬职	bianzhi,bz
贬秩	bianzhi,bz
贬逐	bianzhu,bz
贬坐	bianzuo,bz
