赏爱	shangai,sa
赏拔	shangba,sb
赏报	shangbao,sb
赏不当功	shangbudanggong,sbdg
赏不逾日	shangbuyuri,sbyr
赏不逾时	shangbuyushi,sbys
赏不踰日	shangbuyuri,sbyr
赏不踰时	shangbuyushi,sbys
赏春	shangchun,sc
赏赐	shangci,sc
赏得	shangde,sd
赏地	shangdi,sd
赏灯	shangdeng,sd
赏觌	shangdi,sd
赏典	shangdian,sd
赏钿	shangdian,sd
赏对	shangdui,sd
赏罚	shangfa,sf
赏罚不明	shangfabuming,sfbm
赏罚分明	shangfafenming,sffm
赏罚分审	shangfafenshen,sffs
赏罚信明	shangfaxinming,sfxm
赏罚严明	shangfayanming,sfym
赏封	shangfeng,sf
赏俸	shangfeng,sf
赏服	shangfu,sf
赏俘	shangfu,sf
赏附	shangfu,sf
赏赙	shangfu,sf
赏高罚下	shanggaofaxia,sgfx
赏格	shangge,sg
赏工	shanggong,sg
赏功	shanggong,sg
赏功罚罪	shanggongfazui,sgfz
赏共	shanggong,sg
赏贡	shanggong,sg
赏官	shangguan,sg
赏光	shangguang,sg
赏好	shanghao,sh
赏号	shanghao,sh
赏贺	shanghe,sh
赏花	shanghua,sh
赏花红	shanghuahong,shh
赏怀	shanghuai,sh
赏会	shanghui,sh
赏获	shanghuo,sh
赏击	shangji,sj
赏激	shangji,sj
赏賷	shangji,sj
赏际	shangji,sj
赏家	shangjia,sj
赏假	shangjia,sj
赏监	shangjian,sj
赏鉴	shangjian,sj
赏鍳	shangjian,sj
赏接	shangjie,sj
赏揭	shangjie,sj
赏节	shangjie,sj
赏金	shangjin,sj
赏襟	shangjin,sj
赏进	shangjin,sj
赏静	shangjing,sj
赏句	shangju,sj
赏慨	shangkai,sk
赏犒	shangkao,sk
赏客	shangke,sk
赏口	shangkou,sk
赏赉	shanglai,sl
赏劳	shanglao,sl
赏劳罚罪	shanglaofazui,slfz
赏立	shangli,sl
赏立诛必	shanglizhubi,slzb
赏脸	shanglian,sl
赏恋	shanglian,sl
赏録	shanglu,sl
赏率	shanglu,sl
赏美	shangmei,sm
赏募	shangmu,sm
赏纳	shangna,sn
赏鸟	shangniao,sn
赏弄	shangnong,sn
赏票	shangpiao,sp
赏奇析疑	shangqixiyi,sqxy
赏契	shangqi,sq
赏钱	shangqian,sq
赏潜	shangqian,sq
赏庆	shangqing,sq
赏劝	shangquan,sq
赏善罚恶	shangshanfae,ssfe
赏善罚否	shangshanfafou,ssff
赏设	shangshe,ss
赏石	shangshi,ss
赏识	shangshi,ss
赏世	shangshi,ss
赏事	shangshi,ss
赏适	shangshi,ss
赏收	shangshou,ss
赏首	shangshou,ss
赏说	shangshuo,ss
赏私	shangsi,ss
赏叹	shangtan,st
赏田	shangtian,st
赏眺	shangtiao,st
赏帖	shangtie,st
赏同罚异	shangtongfayi,stfy
赏玩	shangwan,sw
赏翫	shangwan,sw
赏望	shangwang,sw
赏味	shangwei,sw
赏慰	shangwei,sw
赏午	shangwu,sw
赏析	shangxi,sx
赏锡	shangxi,sx
赏狎	shangxia,sx
赏贤罚暴	shangxianfabao,sxfb
赏贤使能	shangxianshineng,sxsn
赏项	shangxiang,sx
赏笑	shangxiao,sx
赏心	shangxin,sx
赏心乐事	shangxinleshi,sxls
赏心亭	shangxinting,sxt
赏心悦目	shangxinyuemu,sxym
赏新	shangxin,sx
赏信罚必	shangxinfabi,sxfb
赏信罚明	shangxinfaming,sxfm
赏刑	shangxing,sx
赏兴	shangxing,sx
赏恤	shangxu,sx
赏勋	shangxun,sx
赏延	shangyan,sy
赏宴	shangyan,sy
赏燕	shangyan,sy
赏要	shangyao,sy
赏一劝百	shangyiquanbai,syqb
赏一劝众	shangyiquanzhong,syqz
赏异	shangyi,sy
赏邑	shangyi,sy
赏逸	shangyi,sy
赏意	shangyi,sy
赏音	shangyin,sy
赏银	shangyin,sy
赏咏	shangyong,sy
赏遇	shangyu,sy
赏誉	shangyu,sy
赏豫	shangyu,sy
赏月	shangyue,sy
赏悦	shangyue,sy
赏赞	shangzan,sz
赏赠	shangzeng,sz
赏召	shangzhao,sz
赏知	shangzhi,sz
赏直	shangzhi,sz
赏秩	shangzhi,sz
赏钟	shangzhong,sz
赏重	shangzhong,sz
赏酌	shangzhuo,sz
赏擢	shangzhuo,sz
