赫本	heben,hb
赫伯斯翼龙	hebosiyilong,hbsyl
赫伯特	hebote,hbt
赫赤	hechi,hc
赫赤赤	hechi,hc
赫炽	hechi,hc
赫德	hede,hd
赫尔	heer,he
赫尔曼	heerman,hem
赫尔曼德	heermande,hemd
赫尔墨斯	heermosi,hems
赫尔穆特	heermute,hemt
赫尔辛基	heerxinji,hexj
赫耳墨斯	heermosi,hems
赫芬顿邮报	hefendunyoubao,hfdyb
赫福特郡	hefutejun,hftj
赫赫	he,h
赫赫赤赤	hechi,hc
赫赫巍巍	hewei,hw
赫赫魏魏	hewei,hw
赫赫炎炎	heyan,hy
赫赫扬扬	heyang,hy
赫赫有名	heyouming,hym
赫赫之功	hezhigong,hzg
赫赫之光	hezhiguang,hzg
赫昈昈	hehu,hh
赫焕	hehuan,hh
赫煌	hehuang,hh
赫斤	hejin,hj
赫卡忒	hekate,hkt
赫拉	hela,hl
赫拉克利特	helakelite,hlklt
赫拉特	helate,hlt
赫拉特省	helatesheng,hlts
赫剌剌	hela,hl
赫连	helian,hl
赫连刀	heliandao,hld
赫烈	helie,hl
赫鲁晓夫	heluxiaofu,hlxf
赫鲁雪夫	heluxuefu,hlxf
赫罗图	heluotu,hlt
赫怒	henu,hn
赫奇帕奇	heqipa,hqp
赫然	heran,hr
赫然而怒	heranernu,hren
赫然耸现	heransongxian,hrsx
赫日	heri,hr
赫塞哥维纳	hesegeweina,hsgwn
赫山	heshan,hs
赫山区	heshanqu,hsq
赫氏角鹰	heshijueying,hsjy
赫烁	heshuo,hs
赫斯	hesi,hs
赫斯提亚	hesitiya,hsty
赫斯之威	hesizhiwei,hszw
赫苏氏	hesushi,hss
赫特河公国	hetegongguo,htgg
赫蹄	heti,ht
赫蹏	hedi,hd
赫图阿拉	hetuala,htal
赫晞	hexi,hx
赫熹	hexi,hx
赫羲	hexi,hx
赫曦	hexi,hx
赫爔	hexi,hx
赫戏	hexi,hx
赫显	hexian,hx
赫歇耳	hexieer,hxe
赫胥	hexu,hx
赫胥黎	hexuli,hxl
赫胥氏	hexushi,hxs
赫喧	hexuan,hx
赫諠	hexuan,hx
赫咺	hexuan,hx
赫烜	hehui,hh
赫炫	hexuan,hx
赫炎	heyan,hy
赫焰	heyan,hy
赫耀	heyao,hy
赫晔	heye,hy
赫奕	heyi,hy
赫翼	heyi,hy
赫诈	hezha,hz
赫咤	hezha,hz
赫张	hezhang,hz
赫章	hezhang,hz
赫章县	hezhangxian,hzx
赫哲语	hezheyu,hzy
赫哲族	hezhezu,hzz
赫着	hezhe,hz
赫真	hezhen,hz
赫濯	hezhuo,hz
赫兹	hezi,hz
赫兹龙	hezilong,hzl
赫姿	hezi,hz
