赵本山	zhaobenshan,zbs
赵壁	zhaobi,zb
赵璧	zhaobi,zb
赵草	zhaocao,zc
赵厕	zhaoce,zc
赵从	zhaocong,zc
赵大郎	zhaodalang,zdl
赵带	zhaodai,zd
赵董	zhaodong,zd
赵盾	zhaodun,zd
赵盾日	zhaodunri,zdr
赵尔丰	zhaoerfeng,zef
赵尔巽	zhaoerxun,zex
赵法	zhaofa,zf
赵夫子	zhaofuzi,zfz
赵服	zhaofu,zf
赵高	zhaogao,zg
赵杲送曾哀	zhaogaosongzengai,zgsza
赵杲送灯台	zhaogaosongdengtai,zgsdt
赵公明	zhaogongming,zgm
赵公元帅	zhaogongyuanshuai,zgys
赵构	zhaogou,zg
赵孤	zhaogu,zg
赵官家	zhaoguanjia,zgj
赵国	zhaoguo,zg
赵后	zhaohou,zh
赵惠文王	zhaohuiwenwang,zhww
赵基天	zhaojitian,zjt
赵佶	zhaoji,zj
赵家人	zhaojiaren,zjr
赵家营	zhaojiaying,zjy
赵家姊妹	zhaojiazimei,zjzm
赵郊坑肉	zhaojiaokengrou,zjkr
赵津歌	zhaojinge,zjg
赵军	zhaojun,zj
赵客	zhaoke,zk
赵坑	zhaokeng,zk
赵匡胤	zhaokuangyin,zky
赵括	zhaokuo,zk
赵老送灯台	zhaolaosongdengtai,zlsdt
赵乐际	zhaoleji,zlj
赵礼让肥	zhaolirangfei,zlrf
赵李	zhaoli,zl
赵缭	zhaoliao,zl
赵録	zhaolu,zl
赵孟	zhaomeng,zm
赵面	zhaomian,zm
赵母	zhaomu,zm
赵囊	zhaonang,zn
赵女	zhaonu,zn
赵讴	zhaoou,zo
赵辟	zhaopi,zp
赵平原	zhaopingyuan,zpy
赵坡	zhaopo,zp
赵岐	zhaoqi,zq
赵钱孙李	zhaoqiansunli,zqsl
赵娆	zhaorao,zr
赵日	zhaori,zr
赵瑟	zhaose,zs
赵社	zhaoshe,zs
赵石	zhaoshi,zs
赵氏	zhaoshi,zs
赵氏璧	zhaoshibi,zsb
赵氏孤	zhaoshigu,zsg
赵氏孤儿	zhaoshiguer,zsge
赵书	zhaoshu,zs
赵树理	zhaoshuli,zsl
赵四将军	zhaosijiangjun,zsjj
赵宋	zhaosong,zs
赵太爷	zhaotaiye,zty
赵谈春	zhaotanchun,ztc
赵体	zhaoti,zt
赵王璧	zhaowangbi,zwb
赵薇	zhaowei,zw
赵卫	zhaowei,zw
赵五娘	zhaowuniang,zwn
赵武灵王	zhaowulingwang,zwlw
赵舞	zhaowu,zw
赵县	zhaoxian,zx
赵信城	zhaoxincheng,zxc
赵玄坛	zhaoxuantan,zxt
赵燕	zhaoyan,zy
赵晔	zhaoye,zy
赵倚楼	zhaoyilou,zyl
赵翼	zhaoyi,zy
赵营	zhaoying,zy
赵玉	zhaoyu,zy
赵元任	zhaoyuanren,zyr
赵元帅	zhaoyuanshuai,zys
赵媛	zhaoyuan,zy
赵云	zhaoyun,zy
赵张	zhaozhang,zz
赵贞	zhaozhen,zz
赵贞女	zhaozhennu,zzn
赵之谦	zhaozhiqian,zzq
赵中贵	zhaozhonggui,zzg
赵忠尧	zhaozhongyao,zzy
赵州	zhaozhou,zz
赵州茶	zhaozhoucha,zzc
赵州桥	zhaozhouqiao,zzq
赵子龙	zhaozilong,zzl
赵紫阳	zhaoziyang,zzy
赵字	zhaozi,zz
