超拔	chaoba,cb
超拜	chaobai,cb
超薄	chaobao,cb
超编	chaobian,cb
超标	chaobiao,cb
超博士	chaoboshi,cbs
超补	chaobu,cb
超步	chaobu,cb
超采	chaocai,cc
超产	chaochan,cc
超常	chaochang,cc
超超	chao,c
超超玄著	chaoxuanzhu,cxz
超超玄箸	chaoxuanzhu,cxz
超车	chaoche,cc
超尘	chaochen,cc
超尘拔俗	chaochenbasu,ccbs
超尘出俗	chaochenchusu,cccs
超尘逐电	chaochenzhudian,cczd
超辰	chaochen,cc
超乘	chaocheng,cc
超程	chaocheng,cc
超出	chaochu,cc
超除	chaochu,cc
超逴	chaochuo,cc
超踔	chaochuo,cc
超趠	chao,c
超次	chaoci,cc
超达	chaoda,cd
超导	chaodao,cd
超导电	chaodaodian,cdd
超导电体	chaodaodianti,cddt
超导电性	chaodaodianxing,cddx
超导体	chaodaoti,cdt
超登	chaodeng,cd
超等	chaodeng,cd
超低空	chaodikong,cdk
超低温	chaodiwen,cdw
超洞	chaodong,cd
超度	chaodu,cd
超度众生	chaoduzhongsheng,cdzs
超渡	chaodu,cd
超短波	chaoduanbo,cdb
超短裤	chaoduanku,cdk
超短裙	chaoduanqun,cdq
超对称	chaoduichen,cdc
超额	chaoe,ce
超额订购	chaoedinggou,cedg
超额利润	chaoelirun,celr
超额配	chaoepei,cep
超额配股权	chaoepeiguquan,cepgq
超额认	chaoeren,cer
超额认购	chaoerengou,cerg
超凡	chaofan,cf
超凡出世	chaofanchushi,cfcs
超凡人圣	chaofanrensheng,cfrs
超凡入圣	chaofanrusheng,cfrs
超凡脱俗	chaofantuosu,cfts
超泛神论	chaofanshenlun,cfsl
超放	chaofang,cf
超分子	chaofenzi,cfz
超负荷	chaofuhe,cfh
超纲	chaogang,cg
超高频	chaogaopin,cgp
超高速	chaogaosu,cgs
超高速乙太网路	chaogaosuyitaiwanglu,cgsytwl
超高温	chaogaowen,cgw
超高压	chaogaoya,cgy
超格	chaoge,cg
超古冠今	chaoguguanjin,cggj
超光	chaoguang,cg
超过	chaoguo,cg
超过限度	chaoguoxiandu,cgxd
超豪华	chaohaohua,chh
超烘	chaohong,ch
超乎	chaohu,ch
超乎寻常	chaohuxunchang,chxc
超忽	chaohu,ch
超换	chaohuan,ch
超豁	chaohuo,ch
超基性岩	chaojixingyan,cjxy
超级	chaoji,cj
超级杯	chaojibei,cjb
超级传播者	chaojichuanbozhe,cjcbz
超级大国	chaojidaguo,cjdg
超级链接	chaojilianjie,cjlj
