蹙澳	cuao,ca
蹙偪	cubi,cb
蹙逼	cubi,cb
蹙鼻	cubi,cb
蹙变	cubian,cb
蹙怖	cubu,cb
蹙尘	cuchen,cc
蹙刺	cuci,cc
蹙促	cu,c
蹙蹙	cu,c
蹙蹙靡骋	cumicheng,cmc
蹙沓	cuta,ct
蹙地	cudi,cd
蹙敌	cudi,cd
蹙动	cudong,cd
蹙顿	cudun,cd
蹙额	cue,ce
蹙遏	cue,ce
蹙頞	cue,ce
蹙齃	cue,ce
蹙沸	cufei,cf
蹙国	cuguo,cg
蹙顄	cuhan,ch
蹙痕	cuhen,ch
蹙击	cuji,cj
蹙踖	cuji,cj
蹙蹐	cuji,cj
蹙金	cujin,cj
蹙金结绣	cujinjiexiu,cjjx
蹙紧	cujin,cj
蹙境	cujing,cj
蹙鞠	cuju,cj
蹙聚	cuju,cj
蹙浪	culang,cl
蹙敛	culian,cl
蹙凌水	culingshui,cls
蹙零	culing,cl
蹙拢	culong,cl
蹙眉	cumei,cm
蹙密	cumi,cm
蹙怒	cunu,cn
蹙圮	cupi,cp
蹙迫	cupo,cp
蹙鬐	cuqi,cq
蹙球	cuqiu,cq
蹙趋	cuqu,cq
蹙然	curan,cr
蹙戎	curong,cr
蹙融	curong,cr
蹙弱	curuo,cr
蹙绳	cusheng,cs
蹙剩	cusheng,cs
蹙竦	cusong,cs
蹙蹜	cusu,cs
蹙损	cusun,cs
蹙缩	cusuo,cs
蹙踏	cuta,ct
蹙蹋	cuta,ct
蹙土	cutu,ct
蹙蓄	cuxu,cx
蹙削	cuxue,cx
蹙踅	cuxue,cx
蹙雪	cuxue,cx
蹙郁	cuyu,cy
蹙拶	cuza,cz
蹙折	cushe,cs
蹙皱	cuzhou,cz
