轧场	yachang,yc
轧车	zhache,zc
轧辞	zhaci,zc
轧道车	yadaoche,ydc
轧道机	yadaoji,ydj
轧敚排很	zhaduopaihen,zdph
轧钢	zhagang,zg
轧钢厂	zhagangchang,zgc
轧钢机	zhagangji,zgj
轧钢条	zhagangtiao,zgt
轧光	yaguang,yg
轧辊	zhagun,zg
轧忽	zhahu,zh
轧花机	yahuaji,yhj
轧机	zhaji,zj
轧空	gakong,gk
轧空头	gakongtou,gkt
轧口	zhakou,zk
轧拉	zhala,zl
轧勒	zhale,zl
轧轹	zhali,zl
轧露	zhalu,zl
轧荦山	zhaluoshan,zls
轧马路	yamalu,yml
轧米	zhami,zm
轧沕	zhami,zm
轧棉	yamian,ym
轧摩	zhamo,zm
轧捺	zhana,zn
轧盘	zhapan,zp
轧朋友	gapengyou,gpy
轧姘头	zhapintou,zpt
轧然	zharan,zr
轧染	yaran,yr
轧染机	yaranji,yrj
轧色	zhase,zs
轧实	zhashi,zs
轧铄	zhashuo,zs
轧芴	zhawu,zw
轧弦	zhaxian,zx
轧鸦	zhaya,zy
轧轧	ya,y
轧雁	zhayan,zy
轧伊	zhayi,zy
轧账	gazhang,gz
轧筝	zhazheng,zz
轧制	zhazhi,zz
轧窒	zhazhi,zz
轧茁	zhazhuo,zz
