辉彩	huicai,hc
辉粲	huican,hc
辉焯	huichao,hc
辉点	huidian,hd
辉风	huifeng,hf
辉格党	huigedang,hgd
辉光	huiguang,hg
辉光放电	huiguangfangdian,hgfd
辉光日新	huiguangrixin,hgrx
辉赫	huihe,hh
辉华	huihua,hh
辉焕	huihuan,hh
辉皇	huihuang,hh
辉煌	huihuang,hh
辉煌地	huihuangde,hhd
辉煌金碧	huihuangjinbi,hhjb
辉辉	hui,h
辉景	huijing,hj
辉烂	huilan,hl
辉丽	huili,hl
辉烈	huilie,hl
辉绿岩	huiluyan,hly
辉南	huinan,hn
辉南县	huinanxian,hnx
辉然	huiran,hr
辉荣	huirong,hr
辉容	huirong,hr
辉如	huiru,hr
辉瑞	huirui,hr
辉石	huishi,hs
辉烁	huishuo,hs
辉特	huite,ht
辉鑴	huixi,hx
辉县	huixian,hx
辉县市	huixianshi,hxs
辉耀	huiyao,hy
辉熠	huiyi,hy
辉音	huiyin,hy
辉映	huiying,hy
辉暎	huiying,hy
辉藻	huizao,hz
辉张	huizhang,hz
辉章	huizhang,hz
辉长岩	huichangyan,hcy
辉照	huizhao,hz
辉烛	huizhu,hz
