辐车	fuche,fc
辐凑	fucou,fc
辐辏	fucou,fc
辐分	fufen,ff
辐集	fuji,fj
辐解	fujie,fj
辐聚	fuju,fj
辐裂	fulie,fl
辐射	fushe,fs
辐射波	fushebo,fsb
辐射场	fushechang,fsc
辐射对称	fusheduichen,fsdc
辐射防护	fushefanghu,fsfh
辐射分解	fushefenjie,fsfj
辐射计	fusheji,fsj
辐射剂量	fushejiliang,fsjl
辐射剂量率	fushejilianglu,fsjll
辐射警告标志	fushejinggaobiaozhi,fsjgbz
辐射敏感性	fusheminganxing,fsmgx
辐射能	fusheneng,fsn
辐射平衡	fushepingheng,fsph
辐射强度	fusheqiangdu,fsqd
辐射散射	fushesan,fss
辐射仪	fusheyi,fsy
辐射源	fusheyuan,fsy
辐射侦察	fushezhencha,fszc
辐射直接效应	fushezhijiexiaoying,fszjxy
辐条	futiao,ft
辐线	fuxian,fx
辐照	fuzhao,fz
辐至	fuzhi,fz
